Time,Delay
1731069774.453,9.21
1731069774.941,1.78
1731069775.443,1.94
1731069775.943,1.49
1731069776.445,1.69
1731069776.946,1.68
1731069777.448,2.09
1731069777.946,1.56
1731069778.449,1.78
1731069778.958,10.2
1731069779.451,1.97
1731069779.951,1.94
1731069780.454,3.28
1731069780.953,1.91
1731069781.453,1.77
1731069781.954,1.78
1731069782.455,2.87
1731069782.955,1.73
1731069783.463,7.95
1731069783.959,3.26
1731069784.459,1.64
1731069784.96,1.92
1731069785.463,3.13
1731069785.962,1.87
1731069786.464,2.12
1731069786.966,3.43
1731069787.466,1.81
1731069787.967,2.27
1731069788.467,1.71
1731069788.969,1.66
1731069789.47,1.79
1731069789.971,2.08
1731069790.472,2.24
1731069790.973,1.99
1731069791.472,1.91
1731069791.975,2.77
1731069792.475,1.76
1731069792.985,10.2
1731069793.48,3.3
1731069793.979,2.21
1731069794.48,2.02
1731069794.982,3.4
1731069795.482,1.52
1731069795.983,1.83
1731069796.485,2.75
1731069796.985,1.72
1731069797.49,5.19
1731069797.987,1.77
1731069798.488,1.58
1731069798.989,1.62
1731069799.491,2.02
1731069799.992,1.9
1731069800.492,1.94
1731069800.992,1.59
1731069801.496,3.0
1731069801.999,5.88
1731069802.496,1.98
1731069802.997,2.53
1731069803.497,1.75
1731069803.998,1.8
1731069804.501,2.47
1731069805.0,1.78
1731069805.502,1.72
1731069806.003,1.62
1731069806.504,2.53
1731069807.01,7.18
1731069807.507,1.6
1731069808.007,2.35
1731069808.51,4.76
1731069809.009,1.98
1731069809.511,3.21
1731069810.011,2.03
1731069810.512,2.2
1731069811.014,3.85
1731069811.52,7.7
1731069812.016,2.39
1731069812.518,3.5
1731069813.017,1.8
1731069813.518,1.72
1731069814.019,1.82
1731069814.52,2.12
1731069815.02,1.83
1731069815.521,1.75
1731069816.026,6.49
1731069816.523,1.73
1731069817.025,1.68
1731069817.527,2.76
1731069818.027,1.61
1731069818.528,1.64
1731069819.032,2.97
1731069819.532,2.42
1731069820.032,2.12
1731069820.534,3.79
1731069821.041,8.53
1731069821.536,1.97
1731069822.037,2.43
1731069822.537,1.77
1731069823.038,1.71
1731069823.539,1.81
1731069824.041,1.73
1731069824.542,1.74
1731069825.044,1.79
1731069825.549,6.69
1731069826.046,1.69
1731069826.547,1.85
1731069827.048,1.84
1731069827.55,1.94
1731069828.051,2.45
1731069828.552,1.71
1731069829.053,1.76
1731069829.555,1.72
1731069830.056,2.22
1731069830.563,8.37
1731069831.058,1.6
1731069831.559,1.94
1731069832.059,1.58
1731069832.561,1.61
1731069833.064,3.36
1731069833.563,1.57
1731069834.065,1.64
1731069834.569,4.03
1731069835.073,8.26
1731069835.567,1.87
1731069836.07,3.48
1731069836.57,1.95
1731069837.071,2.25
1731069837.573,3.2
1731069838.073,1.94
1731069838.573,2.05
1731069839.074,1.58
1731069839.578,5.41
1731069840.076,1.71
1731069840.577,1.63
1731069841.079,2.3
1731069841.579,1.65
1731069842.08,1.53
1731069842.583,2.71
1731069843.083,1.87
1731069843.585,1.52
1731069844.088,2.73
1731069844.596,9.75
1731069845.088,1.99
1731069845.592,4.33
1731069846.089,1.69
1731069846.59,1.79
1731069847.094,5.04
1731069847.592,1.96
1731069848.093,1.8
1731069848.594,1.61
1731069849.105,12.0
1731069849.595,2.03
1731069850.096,1.92
1731069850.598,3.34
1731069851.097,1.78
1731069851.599,1.9
1731069852.099,1.69
1731069852.6,1.66
1731069853.101,1.76
1731069853.609,8.35
1731069854.103,1.93
1731069854.603,1.63
1731069855.105,1.6
1731069855.608,3.37
1731069856.107,1.59
1731069856.608,1.61
1731069857.111,3.09
1731069857.61,1.88
1731069858.112,1.95
