Time,Delay
1731071777.809,0.957
1731071778.308,0.901
1731071778.811,1.31
1731071779.312,1.42
1731071779.812,0.835
1731071780.315,1.58
1731071780.816,0.889
1731071781.316,0.839
1731071781.819,1.17
1731071782.319,1.04
1731071782.821,2.39
1731071783.321,0.993
1731071783.821,0.933
1731071784.321,0.872
1731071784.822,1.03
1731071785.323,1.22
1731071785.823,1.29
1731071786.324,0.784
1731071786.843,0.876
1731071787.358,5.21
1731071787.855,1.31
1731071788.355,0.77
1731071788.863,5.15
1731071789.36,1.29
1731071789.861,1.44
1731071790.361,0.836
1731071790.875,1.21
1731071791.375,1.25
1731071791.876,0.835
1731071792.379,1.22
1731071792.88,0.863
1731071793.403,1.17
1731071793.904,1.39
1731071794.404,0.904
1731071794.905,1.2
1731071795.405,0.854
1731071795.906,0.932
1731071796.406,0.802
1731071796.923,1.29
1731071797.424,1.2
1731071797.924,0.819
1731071798.427,1.16
1731071798.927,1.03
1731071799.428,0.924
1731071799.928,0.815
1731071800.443,1.17
1731071800.947,4.61
1731071801.445,0.73
1731071801.948,1.54
1731071802.453,0.876
1731071802.971,1.35
1731071803.471,1.45
1731071803.972,0.742
1731071804.475,1.2
1731071804.975,1.46
1731071805.476,0.713
1731071805.978,1.17
1731071806.48,0.988
1731071806.987,8.12
1731071807.48,0.794
1731071807.994,1.23
1731071808.495,0.984
1731071808.996,0.763
1731071809.499,1.2
1731071809.999,1.07
1731071810.5,0.815
1731071811.002,1.16
1731071811.503,1.5
1731071812.005,3.16
1731071812.504,0.792
1731071813.019,1.28
1731071813.519,0.983
1731071814.02,0.824
1731071814.522,1.23
1731071815.023,1.52
1731071815.524,0.863
1731071816.026,1.21
1731071816.528,1.15
1731071817.028,0.799
1731071817.535,5.38
1731071818.032,1.66
1731071818.532,0.874
1731071819.035,1.24
1731071819.535,1.13
1731071820.041,4.44
1731071820.539,1.12
1731071821.04,1.18
1731071821.54,0.834
1731071822.042,1.25
1731071822.549,6.41
1731071823.044,0.811
1731071823.546,1.15
1731071824.047,1.16
1731071824.548,0.844
1731071825.05,1.4
1731071825.552,1.55
1731071826.052,0.732
1731071826.555,1.17
1731071827.059,5.45
1731071827.555,0.761
1731071828.059,1.27
1731071828.56,1.66
1731071829.06,0.831
1731071829.563,1.2
1731071830.064,1.65
1731071830.564,0.777
1731071831.066,1.18
1731071831.567,1.15
1731071832.073,6.25
1731071832.569,1.25
1731071833.071,1.03
1731071833.571,0.893
1731071834.075,1.23
1731071834.575,1.07
1731071835.076,0.88
1731071835.579,1.23
1731071836.08,1.11
1731071836.582,2.36
1731071837.082,1.04
1731071837.582,1.03
1731071838.083,0.783
1731071838.586,1.15
1731071839.088,1.19
1731071839.588,0.862
1731071840.091,1.27
1731071840.592,1.67
1731071841.092,0.903
1731071841.6,5.56
1731071842.096,1.09
1731071842.596,0.892
1731071843.097,1.04
1731071843.597,0.673
1731071844.123,1.81
1731071844.625,1.72
1731071845.125,0.828
1731071845.627,1.14
1731071846.127,1.78
1731071846.628,0.727
1731071847.132,2.69
1731071847.637,6.26
1731071848.131,0.739
1731071848.634,1.21
1731071849.135,1.37
1731071849.636,0.896
1731071850.139,1.27
1731071850.639,1.08
1731071851.139,0.813
1731071851.643,1.26
1731071852.147,4.77
1731071852.644,0.797
1731071853.147,1.24
1731071853.648,1.03
1731071854.148,0.792
1731071854.651,1.27
1731071855.152,1.4
1731071855.652,0.828
1731071856.155,1.3
1731071856.657,2.12
1731071857.162,6.22
1731071857.657,1.18
1731071858.157,0.82
1731071858.683,1.59
1731071859.184,1.73
1731071859.684,0.866
1731071860.188,1.71
1731071860.688,1.44
1731071861.189,0.848
1731071861.691,1.52
1731071862.192,1.53
1731071862.695,2.8
1731071863.194,1.0
1731071863.694,1.35
1731071864.195,1.03
1731071864.695,1.1
1731071865.195,0.905
1731071865.723,1.13
1731071866.224,1.43
1731071866.724,1.16
1731071867.225,1.05
1731071867.725,0.865
1731071868.251,1.32
1731071868.751,1.16
1731071869.252,0.72
1731071869.759,5.26
1731071870.256,1.17
1731071870.757,0.829
1731071871.259,1.24
1731071871.759,1.24
1731071872.26,0.789
1731071872.762,1.22
1731071873.264,1.52
1731071873.764,0.773
1731071874.267,1.34
1731071874.773,6.32
1731071875.269,0.761
1731071875.772,1.54
1731071876.271,1.7
1731071876.772,0.947
1731071877.274,1.1
1731071877.774,0.817
1731071878.274,0.947
1731071878.775,1.18
1731071879.282,7.51
1731071879.777,1.11
1731071880.277,0.727
1731071880.798,3.62
1731071881.298,3.6
1731071881.799,2.51
1731071882.3,2.79
1731071882.8,1.68
1731071883.301,0.995
1731071883.803,2.78
1731071884.304,2.92
1731071884.809,7.0
1731071885.304,0.877
1731071885.819,1.19
1731071886.32,1.1
1731071886.82,0.802
1731071887.323,1.16
1731071887.823,1.49
1731071888.324,0.822
1731071888.827,0.909
1731071889.328,1.41
1731071889.83,2.24
1731071890.329,1.37
1731071890.829,0.872
1731071891.354,1.23
1731071891.855,1.33
1731071892.356,0.796
1731071892.859,1.25
1731071893.36,1.33
1731071893.86,1.13
1731071894.361,1.19
1731071894.861,0.881
1731071895.387,1.2
1731071895.888,1.12
1731071896.388,0.864
1731071896.895,5.34
1731071897.392,1.54
1731071897.892,0.892
1731071898.394,1.23
1731071898.894,1.02
1731071899.394,0.987
1731071899.895,1.23
1731071900.395,0.783
1731071900.923,1.21
1731071901.424,1.5
1731071901.924,0.778
1731071902.427,1.03
1731071902.928,1.23
1731071903.428,0.782
1731071903.931,1.32
1731071904.432,1.26
1731071904.932,0.777
1731071905.435,1.21
1731071905.935,1.38
1731071906.436,0.821
1731071906.938,0.872
1731071907.452,2.26
1731071907.955,5.09
1731071908.452,1.36
1731071908.954,1.76
1731071909.453,0.862
1731071909.979,1.29
1731071910.48,1.14
1731071910.98,0.734
1731071911.484,1.22
1731071911.985,1.37
1731071912.484,0.814
1731071912.987,1.23
1731071913.488,1.2
1731071913.994,6.51
1731071914.489,0.866
1731071915.003,1.08
1731071915.503,1.39
1731071916.004,0.812
1731071916.507,1.21
1731071917.007,1.05
1731071917.508,0.735
1731071918.011,1.27
1731071918.516,1.6
1731071919.014,2.31
1731071919.513,1.0
1731071920.015,1.2
1731071920.514,0.874
1731071921.018,1.1
1731071921.52,1.22
1731071922.021,0.906
1731071922.521,1.24
1731071923.022,0.845
1731071923.546,1.21
1731071924.047,1.23
1731071924.549,0.823
1731071925.055,5.61
1731071925.552,1.49
1731071926.053,0.979
1731071926.553,1.08
1731071927.054,1.34
1731071927.555,0.862
1731071928.059,1.18
1731071928.56,1.2
1731071929.06,1.04
1731071929.561,0.847
1731071930.074,1.08
1731071930.581,6.41
1731071931.076,0.722
1731071931.579,1.18
1731071932.08,1.06
1731071932.58,0.747
1731071933.083,1.15
1731071933.584,1.62
1731071934.084,0.827
1731071934.586,1.15
1731071935.092,4.75
1731071935.589,0.818
1731071936.091,1.45
1731071936.593,2.0
1731071937.092,0.901
1731071937.593,1.33
1731071938.094,1.0
1731071938.595,1.29
1731071939.095,1.1
1731071939.597,1.58
1731071940.097,0.846
1731071940.603,1.69
1731071941.105,1.47
1731071941.605,0.897
1731071942.107,1.44
1731071942.608,1.13
1731071943.108,0.799
1731071943.611,1.53
1731071944.113,1.81
1731071944.615,2.57
1731071945.114,1.13
1731071945.616,1.94
1731071946.115,1.08
1731071946.616,1.27
1731071947.116,1.14
1731071947.617,0.872
1731071948.118,1.02
1731071948.618,1.03
1731071949.121,3.21
1731071949.62,0.858
1731071950.143,5.17
1731071950.64,1.79
1731071951.141,1.07
1731071951.641,1.14
1731071952.142,0.826
1731071952.667,1.59
1731071953.168,0.905
1731071953.691,1.31
1731071954.192,1.42
1731071954.692,0.822
1731071955.195,1.15
1731071955.695,1.17
1731071956.195,0.774
1731071956.699,1.26
1731071957.2,0.935
1731071957.699,1.02
1731071958.2,0.802
1731071958.715,1.25
1731071959.216,1.37
1731071959.717,0.751
1731071960.219,1.2
1731071960.72,1.4
1731071961.22,0.86
1731071961.72,0.964
1731071962.227,6.08
1731071962.722,0.866
1731071963.227,1.16
1731071963.727,1.15
1731071964.228,0.819
1731071964.731,1.29
1731071965.232,1.43
1731071965.732,0.832
1731071966.234,1.24
1731071966.737,1.42
1731071967.244,6.0
1731071967.737,0.983
1731071968.237,0.862
1731071968.762,1.19
1731071969.263,1.36
1731071969.764,0.733
1731071970.266,1.14
1731071970.767,1.17
1731071971.268,0.795
1731071971.771,1.27
1731071972.272,1.25
1731071972.776,3.7
1731071973.274,1.65
1731071973.776,1.57
1731071974.276,0.863
1731071974.779,1.12
1731071975.28,1.14
1731071975.78,0.825
1731071976.282,1.21
1731071976.784,1.37
1731071977.284,0.794
1731071977.791,4.85
1731071978.288,0.84
1731071978.817,6.18
1731071979.312,2.05
1731071979.812,1.02
1731071980.312,0.89
1731071980.827,1.17
1731071981.328,1.16
1731071981.828,0.875
1731071982.331,1.27
1731071982.832,1.47
1731071983.332,0.749
1731071983.835,1.19
1731071984.341,6.6
1731071984.836,0.808
1731071985.338,1.18
1731071985.84,1.23
1731071986.34,0.836
1731071986.843,1.21
1731071987.344,1.41
1731071987.845,0.841
1731071988.347,1.17
1731071988.851,4.86
1731071989.348,0.719
1731071989.851,1.22
1731071990.352,1.62
1731071990.853,0.804
1731071991.355,1.17
1731071991.855,1.32
1731071992.356,0.733
1731071992.858,1.28
1731071993.359,0.875
1731071993.883,1.17
1731071994.384,1.73
1731071994.89,5.62
1731071995.392,6.64
1731071995.888,1.28
1731071996.388,0.796
1731071996.889,0.901
1731071997.403,1.3
1731071997.904,1.45
1731071998.405,0.786
1731071998.907,1.21
1731071999.407,1.16
1731071999.91,2.46
1731072000.408,0.857
1731072000.922,1.25
1731072001.423,1.52
1731072001.923,0.83
1731072002.428,2.35
1731072002.929,1.54
1731072003.429,0.915
1731072003.932,1.8
1731072004.433,1.7
1731072004.934,1.0
1731072005.439,6.17
1731072005.936,1.57
1731072006.436,0.98
1731072006.936,0.88
1731072007.451,1.29
1731072007.952,1.45
1731072008.452,0.776
1731072008.955,3.22
1731072009.455,2.58
1731072009.957,3.07
1731072010.458,3.71
1731072010.957,0.891
1731072011.483,1.17
1731072011.989,6.78
1731072012.484,0.815
1731072012.987,1.31
1731072013.487,1.24
1731072013.988,0.798
1731072014.491,1.39
1731072014.992,1.52
1731072015.492,0.793
1731072015.995,1.18
1731072016.5,5.05
1731072016.997,1.6
1731072017.5,2.95
1731072018.001,4.13
1731072018.5,2.54
1731072019.0,0.846
1731072019.515,1.28
1731072020.015,1.3
1731072020.516,0.739
1731072021.018,1.16
1731072021.519,1.29
1731072022.026,6.98
1731072022.521,1.02
1731072023.021,0.841
1731072023.547,1.21
1731072024.047,1.29
1731072024.547,1.0
1731072025.048,1.11
1731072025.55,1.09
1731072026.05,1.2
1731072026.551,1.02
1731072027.051,1.07
1731072027.557,6.8
1731072028.052,0.766
1731072028.571,1.34
1731072029.072,1.47
1731072029.573,0.844
1731072030.073,0.844
1731072030.586,0.992
1731072031.088,1.32
1731072031.588,0.879
1731072032.087,0.783
1731072032.604,2.93
1731072033.103,1.72
1731072033.605,0.743
1731072034.111,5.14
1731072034.607,0.8
1731072035.134,5.26
1731072035.632,1.38
1731072036.132,0.819
1731072036.635,1.18
1731072037.136,1.26
1731072037.637,0.766
1731072038.139,1.19
1731072038.639,1.22
1731072039.14,0.788
1731072039.644,2.28
1731072040.15,6.58
1731072040.644,0.881
1731072041.148,1.12
1731072041.647,0.917
1731072042.148,0.721
1731072042.651,1.26
1731072043.152,1.43
1731072043.653,0.799
1731072044.154,1.15
1731072044.659,4.88
1731072045.157,1.01
1731072045.658,1.06
1731072046.159,1.42
1731072046.659,0.844
1731072047.163,1.18
1731072047.664,1.26
1731072048.164,0.798
1731072048.667,1.07
1731072049.168,1.46
1731072049.674,6.91
1731072050.169,0.979
1731072050.668,0.881
1731072051.196,1.59
1731072051.696,1.33
1731072052.197,0.987
1731072052.698,1.26
1731072053.198,1.33
1731072053.7,0.953
1731072054.2,1.1
1731072054.701,0.992
1731072055.206,4.75
1731072055.702,0.953
1731072056.203,0.779
1731072056.731,1.61
1731072057.233,1.39
1731072057.733,0.818
1731072058.235,1.19
1731072058.735,1.29
1731072059.236,0.768
1731072059.738,1.18
1731072060.239,1.44
1731072060.74,1.2
1731072061.246,6.12
1731072061.741,1.0
1731072062.242,0.926
1731072062.742,0.868
1731072063.259,1.16
1731072063.76,1.26
1731072064.26,0.805
1731072064.763,1.18
1731072065.264,1.33
1731072065.764,0.727
1731072066.266,1.17
1731072066.773,6.36
1731072067.269,1.19
1731072067.77,1.62
1731072068.271,1.23
1731072068.771,0.853
1731072069.274,1.18
1731072069.776,1.27
1731072070.275,0.874
1731072070.778,1.12
1731072071.283,4.39
1731072071.779,0.773
1731072072.284,1.16
1731072072.784,1.33
1731072073.284,0.808
1731072073.787,0.905
1731072074.288,1.09
1731072074.788,0.797
1731072075.291,1.26
1731072075.793,2.26
1731072076.297,6.26
1731072076.794,1.08
1731072077.294,1.09
1731072077.794,0.876
1731072078.295,1.22
1731072078.795,0.791
1731072079.323,1.64
1731072079.826,2.7
1731072080.326,1.26
1731072080.828,2.4
1731072081.328,1.75
1731072081.83,3.29
1731072082.328,1.0
1731072082.829,0.984
1731072083.33,1.62
1731072083.83,1.03
1731072084.332,0.926
1731072084.835,4.28
1731072085.332,0.765
1731072085.851,1.62
1731072086.353,1.77
1731072086.854,0.814
1731072087.359,5.6
1731072087.856,1.37
1731072088.357,0.956
1731072088.858,1.13
1731072089.36,2.13
1731072089.86,1.16
1731072090.359,0.949
1731072090.862,2.78
1731072091.362,1.14
1731072091.866,4.65
1731072092.365,2.0
1731072092.866,1.74
1731072093.366,1.28
1731072093.867,1.12
1731072094.367,1.75
1731072094.868,0.88
1731072095.368,0.802
1731072095.901,1.39
1731072096.401,1.49
1731072096.901,0.967
1731072097.402,1.15
1731072097.907,5.78
1731072098.403,0.971
1731072098.904,1.33
1731072099.405,0.816
1731072099.931,1.14
1731072100.435,1.36
1731072100.932,0.845
1731072101.435,1.51
1731072101.936,1.08
1731072102.436,0.972
1731072102.937,0.982
1731072103.438,1.06
1731072103.938,0.795
1731072104.444,3.12
1731072104.946,3.54
1731072105.445,1.41
1731072105.947,2.44
1731072106.448,1.79
1731072106.948,0.872
1731072107.451,1.27
1731072107.951,1.49
1731072108.453,2.2
1731072108.955,2.04
1731072109.456,3.47
1731072109.956,1.48
1731072110.456,1.16
1731072110.957,0.934
1731072111.457,0.872
1731072111.963,1.66
1731072112.465,1.56
1731072112.966,0.894
1731072113.471,6.06
1731072113.967,2.17
1731072114.467,0.915
1731072114.968,0.725
1731072115.482,1.19
1731072115.983,1.44
1731072116.484,0.802
1731072116.987,1.19
1731072117.489,1.29
1731072117.988,0.808
1731072118.49,1.32
1731072118.991,1.46
1731072119.491,0.773
1731072119.995,1.51
1731072120.496,1.28
1731072120.996,0.896
1731072121.497,0.792
1731072122.011,1.32
1731072122.513,1.65
1731072123.012,0.726
1731072123.515,1.48
1731072124.02,5.05
1731072124.517,1.07
1731072125.017,1.07
1731072125.518,1.18
1731072126.018,0.809
1731072126.523,1.75
1731072127.025,1.74
1731072127.525,0.713
1731072128.027,1.31
1731072128.529,1.27
1731072129.035,6.5
1731072129.53,1.14
1731072130.031,1.55
1731072130.532,0.844
1731072131.035,1.17
1731072131.535,0.991
1731072132.036,0.818
1731072132.539,1.34
1731072133.04,1.07
1731072134.043,0.995
1731072134.543,1.5
1731072135.046,0.947
1731072135.545,1.09
1731072136.046,0.977
1731072136.546,0.82
1731072137.052,1.3
1731072137.552,1.45
1731072138.053,1.47
1731072138.56,8.56
1731072139.055,1.72
1731072139.555,1.08
1731072140.056,1.14
1731072140.557,1.87
1731072141.058,0.885
1731072141.563,1.34
1731072142.063,1.4
1731072142.564,0.772
1731072143.066,1.17
1731072143.573,6.8
1731072144.069,0.786
1731072144.571,1.32
1731072145.072,1.47
1731072145.572,0.795
1731072146.075,1.25
1731072146.576,1.14
1731072147.076,1.01
1731072147.577,1.17
1731072148.082,5.33
1731072148.578,0.783
1731072149.083,1.21
1731072149.584,1.28
1731072150.084,0.818
1731072150.587,0.916
1731072151.087,1.4
1731072151.588,0.788
1731072152.091,1.33
1731072152.591,1.25
1731072153.098,6.42
1731072153.594,0.963
1731072154.095,1.5
1731072154.595,0.905
1731072155.095,0.76
1731072155.611,1.31
1731072156.112,1.54
1731072156.612,0.768
1731072157.114,1.17
1731072157.615,1.2
1731072158.118,2.66
1731072158.617,1.04
1731072159.118,0.881
1731072159.643,1.11
1731072160.144,1.56
1731072160.644,0.777
1731072161.147,1.17
1731072161.647,1.1
1731072162.147,0.843
1731072162.651,1.25
1731072163.151,1.61
1731072163.653,1.16
1731072164.159,7.47
1731072164.654,1.17
1731072165.154,0.855
1731072165.66,2.91
1731072166.16,1.24
1731072166.66,0.825
1731072167.163,1.22
1731072167.665,2.69
1731072168.164,0.854
1731072168.668,2.07
1731072169.173,6.65
1731072169.668,0.786
1731072170.17,1.38
1731072170.671,1.16
1731072171.172,0.833
1731072171.674,1.22
1731072172.175,1.37
1731072172.676,0.775
1731072173.179,1.13
1731072173.683,4.41
1731072174.18,0.796
1731072174.816,72.3
1731072175.185,1.68
1731072175.686,0.793
1731072176.219,1.2
1731072176.72,1.41
1731072177.22,0.765
1731072177.723,1.32
1731072178.227,4.63
1731072178.725,0.842
1731072179.226,1.17
1731072179.728,1.47
1731072180.234,6.46
1731072180.729,0.854
1731072181.243,1.28
1731072181.744,1.29
1731072182.245,0.831
1731072182.747,1.26
1731072183.248,0.991
1731072183.749,0.881
1731072184.251,1.18
1731072184.752,1.38
1731072185.255,3.89
1731072185.753,0.903
1731072186.267,1.19
1731072186.767,1.29
1731072187.267,0.829
1731072187.775,1.43
1731072188.275,0.834
1731072188.795,1.13
1731072189.295,1.13
1731072189.796,0.762
1731072190.297,1.05
1731072190.797,0.927
1731072191.299,2.41
1731072191.806,7.76
1731072192.3,1.24
1731072192.801,0.886
1731072193.307,1.24
1731072193.808,1.36
1731072194.308,0.814
1731072194.811,1.3
1731072195.313,1.24
1731072195.812,0.782
1731072196.315,0.785
1731072196.83,3.66
1731072197.335,7.25
1731072197.83,2.02
1731072198.332,3.74
1731072198.834,3.56
1731072199.333,2.37
1731072199.835,3.18
1731072200.334,1.64
1731072200.835,1.63
1731072201.335,0.999
1731072201.842,6.59
1731072202.337,0.94
1731072202.838,0.867
1731072203.354,1.2
1731072203.855,0.864
1731072204.379,1.17
1731072204.88,1.3
1731072205.38,0.885
1731072205.882,1.17
1731072206.384,1.44
1731072206.884,0.84
1731072207.387,1.18
1731072207.888,1.09
1731072208.393,6.22
1731072208.889,1.42
1731072209.39,1.11
1731072209.89,0.895
1731072210.395,1.12
1731072210.895,1.42
1731072211.396,0.692
1731072211.899,1.22
1731072212.399,1.06
1731072212.902,2.52
1731072213.402,1.08
1731072213.902,0.994
1731072214.403,1.03
1731072214.903,1.17
1731072215.404,0.747
1731072215.931,1.29
1731072216.432,1.52
1731072216.932,0.82
1731072217.435,1.25
1731072217.936,1.45
1731072218.436,0.811
1731072218.943,4.94
1731072219.44,1.32
1731072219.94,0.867
1731072220.443,1.22
1731072220.945,1.28
1731072221.444,0.776
1731072221.946,1.0
1731072222.448,1.19
1731072222.948,0.777
1731072223.451,1.22
1731072223.957,6.66
1731072224.453,0.75
1731072224.955,1.31
1731072225.456,1.16
1731072225.956,0.839
1731072226.459,1.22
1731072226.96,0.897
1731072227.46,0.822
1731072227.961,0.81
1731072228.474,1.27
1731072228.979,5.11
1731072229.475,0.798
1731072229.979,1.25
1731072230.48,1.09
1731072230.98,0.802
1731072231.482,1.23
1731072231.983,1.43
1731072232.484,0.804
1731072232.987,1.31
1731072233.487,1.18
1731072233.994,6.42
1731072234.49,1.12
1731072234.99,1.01
1731072235.49,1.12
1731072235.991,1.14
1731072236.493,0.925
1731072236.992,0.898
1731072237.501,1.24
1731072238.0,1.16
1731072238.502,2.22
1731072239.001,1.09
1731072239.502,0.833
1731072240.026,1.29
1731072240.527,1.07
1731072241.028,0.814
1731072241.531,1.3
1731072242.031,1.32
1731072242.532,0.812
1731072243.035,1.13
1731072243.536,1.21
1731072244.036,0.913
1731072244.542,6.09
1731072245.037,0.982
1731072245.538,1.09
1731072246.038,0.932
1731072246.541,1.89
1731072247.041,2.35
1731072247.541,0.906
1731072248.058,1.21
1731072248.56,1.03
1731072249.06,0.824
1731072249.563,1.38
1731072250.069,6.59
1731072250.566,0.856
1731072251.067,1.29
1731072251.567,1.1
1731072252.068,0.836
1731072252.571,1.37
1731072253.074,4.01
1731072253.571,0.881
1731072254.075,1.26
1731072254.579,5.04
1731072255.075,0.844
1731072255.58,2.57
1731072256.08,1.19
1731072256.581,0.818
1731072257.083,1.2
1731072257.583,1.43
1731072258.084,0.776
1731072258.588,1.19
1731072259.088,1.11
1731072259.594,6.57
1731072260.089,1.27
1731072260.59,0.883
1731072261.114,1.17
1731072261.616,1.26
1731072262.117,0.867
1731072262.619,1.22
1731072263.12,1.24
1731072263.62,0.821
1731072264.123,1.17
1731072264.624,1.53
1731072265.125,2.13
1731072265.625,1.22
1731072266.125,0.801
1731072266.66,8.81
1731072267.154,0.856
1731072267.675,1.84
1731072268.177,1.73
1731072268.677,0.857
1731072269.211,1.24
1731072269.712,1.6
1731072270.211,0.76
1731072270.715,1.2
1731072271.216,1.22
1731072271.717,0.754
1731072272.22,1.3
1731072272.719,1.14
1731072273.22,0.788
1731072273.726,4.92
1731072274.224,1.48
1731072274.724,0.782
1731072275.227,1.06
1731072275.728,1.13
1731072276.228,0.679
1731072276.731,1.2
1731072277.233,1.52
1731072277.732,0.762
1731072278.236,1.73
1731072278.742,7.15
1731072279.236,0.823
1731072279.738,1.33
1731072280.24,1.04
1731072280.74,0.829
1731072281.243,1.44
1731072281.744,1.29
1731072282.244,0.789
1731072282.746,1.16
1731072283.251,4.82
1731072283.748,0.914
1731072284.249,0.871
1731072284.763,1.21
1731072285.264,1.33
1731072285.765,0.855
1731072286.267,1.31
1731072286.769,1.5
1731072287.269,0.956
1731072287.769,1.08
1731072288.269,1.0
1731072288.771,1.36
1731072289.27,1.08
1731072289.772,1.28
1731072290.272,1.27
1731072290.773,0.869
1731072291.291,1.25
1731072291.792,1.53
1731072292.292,0.813
1731072292.795,1.45
1731072293.296,1.21
1731072293.798,2.6
1731072294.298,0.949
1731072294.798,0.925
1731072295.298,1.01
1731072295.799,0.955
1731072296.299,0.852
1731072296.827,1.1
1731072297.328,1.09
1731072297.828,0.754
1731072298.331,1.27
1731072298.833,0.934
1731072299.332,0.833
1731072300.351,5.11
1731072300.847,1.33
1731072301.348,0.776
1731072301.851,1.23
1731072302.352,1.16
1731072302.853,1.01
1731072303.354,1.35
1731072303.855,1.29
1731072304.356,1.03
1731072304.856,0.945
1731072305.358,0.859
1731072305.882,1.16
1731072306.389,6.52
1731072306.884,0.875
1731072307.386,1.32
1731072307.887,1.12
1731072308.388,0.865
1731072308.891,1.28
1731072309.391,1.46
1731072309.891,0.731
1731072310.394,1.14
1731072310.9,5.18
1731072311.396,0.837
1731072311.899,1.2
1731072312.4,1.36
1731072312.901,0.823
1731072313.403,1.22
1731072313.905,1.45
1731072314.405,0.812
1731072314.907,1.26
1731072315.408,1.29
1731072315.914,6.4
1731072316.41,1.25
1731072316.91,0.847
1731072317.435,1.21
1731072317.936,1.34
1731072318.437,0.908
1731072318.937,1.19
1731072319.439,1.17
1731072319.939,0.803
1731072320.443,1.18
1731072320.944,1.62
1731072321.447,2.8
1731072321.946,0.862
1731072322.459,1.21
1731072322.961,1.23
1731072323.46,0.738
1731072323.963,1.43
1731072324.464,1.18
1731072324.964,0.799
1731072325.467,1.37
1731072325.968,1.07
1731072326.469,1.2
1731072326.974,6.36
1731072327.471,1.2
1731072327.979,8.75
1731072328.473,0.864
1731072328.987,1.33
1731072329.487,1.5
1731072329.988,0.749
1731072330.491,1.16
1731072330.992,1.32
1731072331.493,1.32
1731072331.994,0.821
1731072332.507,1.28
1731072333.014,6.3
1731072333.508,0.924
1731072334.013,1.23
1731072334.513,1.06
1731072335.013,0.874
1731072335.515,1.23
1731072336.016,1.43
1731072336.517,0.839
1731072337.019,1.14
1731072337.522,4.3
1731072338.02,0.887
1731072338.522,1.23
1731072339.023,1.49
1731072339.524,0.824
1731072340.027,1.35
1731072340.527,1.32
1731072341.028,0.802
1731072341.531,1.32
1731072342.032,1.44
1731072342.538,6.06
1731072343.033,0.85
1731072343.546,1.21
1731072344.048,1.16
1731072344.548,0.761
1731072345.05,1.24
1731072345.552,1.57
