Time,F4C1Bitrate,F4C1Jitter,F4C1Datagrams,F4C1Delay,F4C1Distance,F4S1Bitrate,F4S1Jitter,F4S1Datagrams,F4S1Delay,F4S1Distance,F4F2Bitrate,F4F2Jitter,F4F2Datagrams,F4F2Delay,F4F2Distance,F4F1Bitrate,F4F1Jitter,F4F1Datagrams,F4F1Delay,F4F1Distance,F2F4Bitrate,F2F4Jitter,F2F4Datagrams,F2F4Delay,F2F4Distance,F2S1Bitrate,F2S1Jitter,F2S1Datagrams,F2S1Delay,F2S1Distance,F2F1Bitrate,F2F1Jitter,F2F1Datagrams,F2F1Delay,F2F1Distance,F2C1Bitrate,F2C1Jitter,F2C1Datagrams,F2C1Delay,F2C1Distance,F1S1Bitrate,F1S1Jitter,F1S1Datagrams,F1S1Delay,F1S1Distance,F1F4Bitrate,F1F4Jitter,F1F4Datagrams,F1F4Delay,F1F4Distance,F1C1Bitrate,F1C1Jitter,F1C1Datagrams,F1C1Delay,F1C1Distance,F1F2Bitrate,F1F2Jitter,F1F2Datagrams,F1F2Delay,F1F2Distance,C1S1Bitrate,C1S1Jitter,C1S1Datagrams,C1S1Delay,C1S1Distance,C1F1Bitrate,C1F1Jitter,C1F1Datagrams,C1F1Delay,C1F1Distance,C1F2Bitrate,C1F2Jitter,C1F2Datagrams,C1F2Delay,C1F2Distance,C1F4Bitrate,C1F4Jitter,C1F4Datagrams,C1F4Delay,C1F4Distance,S1F2Bitrate,S1F2Jitter,S1F2Datagrams,S1F2Delay,S1F2Distance,S1F4Bitrate,S1F4Jitter,S1F4Datagrams,S1F4Delay,S1F4Distance,S1C1Bitrate,S1C1Jitter,S1C1Datagrams,S1C1Delay,S1C1Distance,S1F1Bitrate,S1F1Jitter,S1F1Datagrams,S1F1Delay,S1F1Distance
1731068776.81,8.32,0.901,0.0,0.774,4186.42669827145,40.3,0.502,0.0,1.2,4310.999334927277,19.8,0.468,0.0,1.98,3906.661490326491,19.8,0.361,0.0,1.42,3125.0092495863105,19.8,0.676,0.0,1.67,3906.661490326491,40.3,0.839,0.0,1.88,4221.362447691103,19.8,0.548,0.0,1.03,781.6523587887405,8.32,0.975,0.0,1.88,4647.646847599332,40.3,0.509,0.0,1.05,3940.474889067736,19.8,0.569,0.0,1.24,3125.0092495863105,8.32,0.862,0.0,0.989,4283.19384875352,19.8,0.501,0.0,0.771,781.6523587887405,39.7,0.856,0.016,1.67,7750.467609941045,19.8,0.689,0.0,0.879,4283.19384875352,19.8,0.729,0.0,2.05,4647.646847599332,19.8,0.359,0.0,1.37,4186.42669827145,19.9,0.706,0.0,1.86,4221.362447691103,19.8,0.678,0.0,0.901,4310.999334927277,7.68,0.902,0.0,4.41,7750.467609941045,19.8,0.639,0.0,1.01,3940.474889067736
1731068777.31,7.69,0.571,0.0,2.78,4186.300307550809,39.7,0.468,0.0,2.62,4311.330176214245,19.8,0.514,0.0,1.73,3906.85360136517,19.8,0.382,0.0,0.942,3125.1629541513507,19.9,0.709,0.0,1.61,3906.85360136517,39.7,0.795,0.0,1.6,4221.621562693885,19.8,0.548,0.0,0.868,781.6907652646287,7.68,0.504,0.0,7.22,4647.599523678864,39.7,0.439,0.0,6.66,3940.738839626102,19.8,0.581,0.0,0.809,3125.1629541513507,7.68,0.445,0.0,0.789,4283.10002089608,19.9,0.538,0.0,0.979,781.6907652646287,39.7,0.927,0.0,2.33,7750.608643460901,19.8,0.507,0.0,1.01,4283.10002089608,19.8,0.635,0.0,2.38,4647.599523678864,19.8,0.402,0.0,0.867,4186.300307550809,19.8,0.864,0.0,1.83,4221.621562693885,19.8,0.847,0.0,1.07,4311.330176214245,8.32,0.749,0.0,2.12,7750.608643460901,19.8,0.68,0.0,1.48,3940.738839626102
1731068777.81,8.32,0.472,0.0,1.0,4186.173933319064,40.3,0.446,0.0,1.06,4312.13385944899,20.5,0.51,0.0,1.88,3907.045718954412,20.5,0.455,0.0,0.808,3125.3166639558303,20.5,0.902,0.0,2.01,3907.045718954412,40.3,0.916,0.0,1.88,4222.084763210935,20.5,0.522,0.0,0.88,781.7291730516395,8.32,0.901,0.0,2.11,4647.552199814436,40.3,0.525,0.0,0.941,3941.2811445324014,20.5,0.517,0.0,1.05,3125.3166639558303,8.32,0.543,0.0,0.732,4283.006193084479,19.9,0.626,0.0,1.19,781.7291730516395,40.3,0.814,0.0,1.91,7751.147169902354,20.5,0.593,0.0,1.18,4283.006193084479,20.5,0.613,0.0,2.19,4647.552199814436,20.5,0.412,0.0,1.57,4186.173933319064,20.5,0.652,0.0,1.96,4222.084763210935,20.5,0.695,0.0,1.41,4312.13385944899,8.32,0.84,0.0,1.61,7751.147169902354,20.5,0.742,0.0,0.867,3941.2811445324014
1731068778.31,7.68,0.886,0.0,0.82,4186.047575577707,39.7,0.686,0.0,1.05,4312.209505866582,19.8,1.106,0.0,2.5,3907.237843093251,19.8,0.486,0.0,1.02,3125.470378998976,19.8,0.84,0.0,1.74,3907.237843093251,39.7,1.075,0.0,1.57,4221.5604539790975,19.8,0.683,0.0,0.863,781.7675821495792,7.68,1.039,0.0,1.54,4647.504876006048,39.7,0.473,0.0,1.03,3940.81796306075,19.8,0.454,0.0,1.24,3125.470378998976,7.68,0.866,0.0,1.44,4282.912365318721,20.5,0.508,0.0,0.859,781.7675821495792,39.7,0.968,0.0,1.64,7750.739489655989,19.8,0.618,0.0,0.87,4282.912365318721,19.8,0.915,0.0,1.72,4647.504876006048,19.9,0.411,0.0,1.04,4186.047575577707,19.8,0.73,0.0,2.08,4221.5604539790975,19.8,0.658,0.0,0.935,4312.209505866582,7.68,0.687,0.0,1.76,7750.739489655989,19.9,0.726,0.0,0.876,3940.81796306075
1731068778.81,8.32,0.433,0.0,0.859,4185.921234328233,40.3,0.786,0.0,0.97,4312.076087586821,19.8,0.574,0.0,2.19,3907.42997378072,19.8,0.553,0.0,1.39,3125.624099280015,19.9,0.609,0.0,2.03,3907.42997378072,40.3,1.51,0.0,1.73,4221.624815749271,19.8,0.612,0.0,4.05,781.805992558255,8.32,1.042,0.0,1.69,4647.457552253704,40.3,0.516,0.0,0.79,3940.813420513113,19.9,0.411,0.0,0.887,3125.624099280015,8.32,0.461,0.0,1.12,4282.81853759881,19.8,0.565,0.0,1.06,781.805992558255,39.7,0.935,0.016,1.96,7750.493049075315,19.8,0.572,0.0,1.38,4282.81853759881,19.8,0.853,0.0,3.99,4647.457552253704,19.8,0.308,0.0,0.926,4185.921234328233,19.8,0.578,0.0,1.78,4221.624815749271,19.8,0.815,0.0,0.877,4312.076087586821,7.68,1.133,0.0,1.57,7750.493049075315,19.8,0.9,0.0,0.809,3940.813420513113
1731068779.31,7.68,0.941,0.0,0.877,4185.794909572135,39.7,0.559,0.0,1.46,4312.719306845609,19.8,0.454,0.0,1.69,3907.622111015854,19.8,0.499,0.0,0.959,3125.7778247981723,19.8,0.635,0.0,1.69,3907.622111015854,39.7,1.208,0.0,2.4,4221.681749533895,19.8,0.606,0.0,0.824,781.8444042774762,7.69,1.057,0.0,2.54,4647.410228557406,39.7,0.551,0.0,1.14,3940.972508723631,19.8,0.406,0.0,0.836,3125.7778247981723,7.68,0.982,0.0,2.72,4282.724709924745,19.8,0.708,0.0,0.822,781.8444042774762,39.7,0.811,0.0,2.18,7750.72939445236,19.8,0.708,0.0,1.1,4282.724709924745,19.9,0.817,0.0,2.4,4647.410228557406,19.8,0.451,0.0,1.06,4185.794909572135,19.8,0.637,0.0,1.71,4221.681749533895,19.9,0.841,0.0,0.882,4312.719306845609,8.32,1.035,0.0,2.37,7750.72939445236,19.8,0.947,0.0,0.808,3940.972508723631
1731068779.81,8.32,0.695,0.0,0.737,4185.6686013109065,40.3,0.429,0.0,1.03,4312.547185752709,20.5,0.574,0.0,10.3,3907.814254797687,20.5,0.46,0.0,0.796,3125.93155555268,19.8,0.977,0.0,11.1,3907.814254797687,39.7,0.722,0.0,2.13,4221.805847397854,20.5,0.754,0.0,0.76,781.8828173070443,8.32,0.503,0.0,1.75,4647.362904917153,39.7,0.58,0.0,1.15,3941.010672680092,20.5,0.508,0.0,0.964,3125.93155555268,8.31,0.785,0.0,3.43,4282.630882296535,20.5,0.699,0.0,0.953,781.8828173070443,39.7,0.461,0.0,1.99,7750.488370701025,20.5,0.665,0.0,7.19,4282.630882296535,20.5,0.749,0.0,1.38,4647.362904917153,20.5,0.433,0.0,6.04,4185.6686013109065,20.5,0.536,0.0,9.22,4221.805847397854,20.5,0.822,0.0,1.02,4312.547185752709,8.32,0.96,0.0,2.27,7750.488370701025,20.5,1.006,0.0,1.07,3941.010672680092
1731068780.31,7.68,0.672,0.0,1.49,4185.54230954604,38.4,0.479,0.032,0.826,4313.332966171542,19.8,0.523,0.0,1.92,3908.006405125253,19.8,0.476,0.0,1.08,3126.0852915427627,20.5,0.761,0.0,2.2,3908.006405125253,40.3,0.772,0.0,2.82,4222.175602598965,19.8,0.638,0.0,1.03,781.9212316467689,7.68,1.058,0.0,1.71,4647.315581332948,40.3,0.664,0.0,0.792,3941.4690086374376,19.8,0.408,0.0,2.95,3126.0852915427627,7.68,0.592,0.0,0.967,4282.537054714179,19.8,0.738,0.0,1.48,781.9212316467689,40.3,0.421,0.0,1.78,7750.969300179949,19.8,0.763,0.0,1.43,4282.537054714179,19.8,0.799,0.0,1.68,4647.315581332948,19.8,0.379,0.0,1.13,4185.54230954604,19.8,0.686,0.0,2.57,4222.175602598965,19.8,0.861,0.0,1.09,4313.332966171542,7.68,0.992,0.0,2.22,7750.969300179949,19.9,0.87,0.0,1.43,3941.4690086374376
1731068780.81,7.68,0.528,0.0,1.03,4185.41603427903,40.3,0.457,0.0,0.774,4313.358433858105,19.8,0.741,0.0,2.12,3908.198561997586,19.8,0.462,0.0,1.06,3126.239032767649,19.8,0.776,0.0,1.84,3908.198561997586,40.3,0.666,0.0,4.76,4221.802139702954,19.8,0.721,0.0,1.87,781.9596472964569,7.69,0.789,0.0,1.77,4647.268257804793,39.7,0.61,0.0,0.722,3941.12409501721,19.8,0.55,0.0,0.904,3126.239032767649,7.68,0.398,0.0,0.803,4282.443227177683,19.8,0.688,0.0,0.775,781.9596472964569,39.7,0.866,0.016,7.93,7750.605042595999,19.9,0.684,0.0,1.7,4282.443227177683,19.9,0.943,0.0,2.39,4647.268257804793,19.9,0.366,0.0,1.88,4185.41603427903,19.9,0.52,0.0,2.26,4221.802139702954,19.8,0.855,0.0,0.954,4313.358433858105,7.69,0.521,0.0,1.9,7750.605042595999,19.8,0.951,0.0,1.88,3941.12409501721
1731068781.31,8.32,0.537,0.0,0.887,4185.289775511369,39.7,0.489,0.0,1.0,4313.622851834482,19.8,0.608,0.0,1.69,3908.390725413722,19.9,0.48,0.0,0.82,3126.392779226565,19.8,0.923,0.0,1.76,3908.390725413722,39.7,0.746,0.0,2.03,4221.865553846499,19.8,0.648,0.0,0.907,781.9980642559151,8.32,1.104,0.0,1.98,4647.2209343326895,40.3,0.544,0.0,0.987,3941.2058210077935,19.8,0.498,0.0,1.03,3126.392779226565,8.32,0.505,0.0,1.09,4282.349399687047,19.8,0.685,0.0,0.935,781.9980642559151,39.7,0.595,0.0,1.43,7750.607330434344,19.8,0.66,0.0,3.2,4282.349399687047,19.8,0.951,0.0,1.99,4647.2209343326895,19.8,0.452,0.0,2.73,4185.289775511369,19.8,0.822,0.0,2.44,4221.865553846499,19.8,0.816,0.0,3.99,4313.622851834482,8.31,0.881,0.0,3.31,7750.607330434344,19.8,0.626,0.0,1.05,3941.2058210077935
