Time,F4C1Bitrate,F4C1Jitter,F4C1Datagrams,F4C1Delay,F4C1Distance,F4F1Bitrate,F4F1Jitter,F4F1Datagrams,F4F1Delay,F4F1Distance,F4S1Bitrate,F4S1Jitter,F4S1Datagrams,F4S1Delay,F4S1Distance,F4F2Bitrate,F4F2Jitter,F4F2Datagrams,F4F2Delay,F4F2Distance,F2F4Bitrate,F2F4Jitter,F2F4Datagrams,F2F4Delay,F2F4Distance,F2S1Bitrate,F2S1Jitter,F2S1Datagrams,F2S1Delay,F2S1Distance,F2C1Bitrate,F2C1Jitter,F2C1Datagrams,F2C1Delay,F2C1Distance,F2F1Bitrate,F2F1Jitter,F2F1Datagrams,F2F1Delay,F2F1Distance,F1F4Bitrate,F1F4Jitter,F1F4Datagrams,F1F4Delay,F1F4Distance,F1C1Bitrate,F1C1Jitter,F1C1Datagrams,F1C1Delay,F1C1Distance,F1F2Bitrate,F1F2Jitter,F1F2Datagrams,F1F2Delay,F1F2Distance,F1S1Bitrate,F1S1Jitter,F1S1Datagrams,F1S1Delay,F1S1Distance,C1F4Bitrate,C1F4Jitter,C1F4Datagrams,C1F4Delay,C1F4Distance,C1F1Bitrate,C1F1Jitter,C1F1Datagrams,C1F1Delay,C1F1Distance,C1S1Bitrate,C1S1Jitter,C1S1Datagrams,C1S1Delay,C1S1Distance,C1F2Bitrate,C1F2Jitter,C1F2Datagrams,C1F2Delay,C1F2Distance,S1F2Bitrate,S1F2Jitter,S1F2Datagrams,S1F2Delay,S1F2Distance,S1F4Bitrate,S1F4Jitter,S1F4Datagrams,S1F4Delay,S1F4Distance,S1C1Bitrate,S1C1Jitter,S1C1Datagrams,S1C1Delay,S1C1Distance,S1F1Bitrate,S1F1Jitter,S1F1Datagrams,S1F1Delay,S1F1Distance
1731069778.8,8.32,0.911,0.0,1.09,3968.567562735954,19.8,0.895,0.0,1.04,3441.941720889532,40.3,0.581,0.0,0.787,4813.782026046998,19.8,0.878,0.0,1.88,4302.79025749571,19.8,0.992,0.0,2.07,4302.79025749571,40.3,1.264,0.0,7.71,4318.9203158316695,7.68,0.693,0.0,1.78,4553.113354617915,19.8,0.582,0.0,0.754,860.8486568497403,19.8,0.616,0.0,2.22,3441.941720889532,7.68,0.477,0.0,1.07,4095.633961427704,19.8,0.716,0.0,0.844,860.8486568497403,40.3,1.013,0.0,0.818,4073.2070848235617,19.8,1.098,0.0,5.4,3968.567562735954,19.8,0.432,0.0,0.763,4095.633961427704,40.3,0.809,0.0,3.26,7724.076395413951,19.8,1.273,0.0,1.9,4553.113354617915,19.9,0.948,0.0,1.84,4318.9203158316695,19.8,0.531,0.0,0.765,4813.782026046998,8.31,0.817,0.0,10.2,7724.076395413951,19.8,0.643,0.0,1.07,4073.2070848235617
1731069779.3,7.68,0.521,0.0,1.01,3968.477071245341,19.8,0.676,0.0,0.749,3442.1045146828405,39.0,0.671,0.016,0.893,4813.762524198989,19.8,0.831,0.0,3.76,4302.993732565736,19.8,0.93,0.0,1.88,4302.993732565736,39.7,1.332,0.0,1.69,4319.126945608959,8.32,0.656,0.0,2.73,4553.06614629087,19.8,0.482,0.0,4.33,860.8893381265684,20.5,0.55,0.0,1.05,3442.1045146828405,8.32,0.539,0.0,0.844,4095.540231642218,19.8,0.625,0.0,0.886,860.8893381265684,39.7,0.999,0.0,2.23,4073.343323704477,19.8,0.949,0.0,1.0,3968.477071245341,19.8,0.377,0.0,1.21,4095.540231642218,39.7,0.847,0.0,1.5,7723.980196338954,19.8,1.136,0.0,2.67,4553.06614629087,19.8,0.668,0.0,3.13,4319.126945608959,19.2,0.399,0.032,1.03,4813.762524198989,7.68,0.745,0.0,1.97,7723.980196338954,19.8,0.643,0.0,0.972,4073.343323704477
1731069779.8,8.32,0.462,0.0,1.52,3968.386599110525,19.8,0.57,0.0,0.749,3442.2673123974555,39.7,0.832,0.0,0.883,4814.213628315008,20.5,0.862,0.0,1.82,4303.197212538603,20.5,0.952,0.0,1.58,4303.197212538603,40.3,1.263,0.0,1.89,4319.053080138277,8.32,1.392,0.0,8.2,4553.01893802343,19.8,0.615,0.0,1.73,860.9300203849323,19.8,0.673,0.0,1.1,3442.2673123974555,8.31,0.49,0.0,2.58,4095.446501909164,19.8,0.721,0.0,0.798,860.9300203849323,40.3,1.073,0.0,1.39,4073.352916253654,20.5,1.293,0.0,0.843,3968.386599110525,20.4,0.659,0.0,1.02,4095.446501909164,39.7,1.207,0.0,2.19,7724.0248840745535,20.5,1.675,0.0,1.77,4553.01893802343,20.5,0.602,0.0,1.96,4319.053080138277,20.5,0.384,0.0,0.947,4814.213628315008,7.68,1.283,0.0,1.94,7724.0248840745535,20.5,0.991,0.0,0.763,4073.352916253654
1731069780.3,7.68,0.854,0.0,0.863,3968.296146332831,20.5,0.619,0.0,0.904,3442.4301140328184,40.3,0.788,0.0,0.803,4814.197299216475,19.8,1.106,0.0,2.17,4303.400697413616,19.8,1.444,0.0,1.62,4303.400697413616,39.7,1.638,0.0,1.66,4318.733404058943,7.69,0.853,0.0,1.78,4552.971729815594,20.5,0.688,0.0,3.25,860.9707036246931,19.8,0.874,0.0,1.01,3442.4301140328184,7.68,0.337,0.0,0.828,4095.3527722285417,20.5,0.629,0.0,2.01,860.9707036246931,39.7,1.1,0.0,0.895,4073.0435281036553,19.8,1.256,0.0,1.34,3968.296146332831,19.9,0.466,0.0,2.39,4095.3527722285417,40.3,1.155,0.0,1.78,7723.656350812684,19.2,0.697,0.0,1.72,4552.971729815594,19.9,0.809,0.0,2.11,4318.733404058943,19.2,0.401,0.032,2.33,4814.197299216475,8.32,1.18,0.0,3.28,7723.656350812684,19.8,0.835,0.0,2.24,4073.0435281036553
1731069780.8,8.32,0.437,0.0,0.877,3968.205712913584,19.8,0.738,0.0,2.94,3442.592919588374,39.7,0.86,0.016,1.28,4814.715646433154,19.8,0.866,0.0,1.82,4303.604187190082,19.8,1.015,0.0,2.84,4303.604187190082,40.3,1.614,0.0,2.13,4319.214071363705,8.31,0.67,0.0,3.16,4552.924521667364,19.8,0.699,0.0,0.92,861.0113878457114,19.8,0.755,0.0,2.8,3442.592919588374,8.32,0.49,0.0,1.04,4095.25904260036,19.8,0.726,0.0,1.12,861.0113878457114,40.3,1.065,0.0,0.966,4073.539332772292,19.8,0.733,0.0,1.17,3968.205712913584,19.8,0.601,0.0,0.875,4095.25904260036,40.4,1.095,0.0,1.68,7724.031035297643,20.5,0.483,0.0,3.3,4552.924521667364,19.8,0.633,0.0,1.62,4319.214071363705,19.8,0.34,0.0,0.789,4814.715646433154,8.31,0.974,0.0,1.91,7724.031035297643,19.8,0.916,0.0,1.09,4073.539332772292
1731069781.3,7.69,1.127,0.0,0.8,3968.115298854104,19.8,0.707,0.0,0.748,3442.755729063564,39.7,0.881,0.0,0.88,4814.518319149272,19.8,0.984,0.0,1.96,4303.807681867302,19.8,0.767,0.0,1.61,4303.807681867302,39.7,1.402,0.0,1.93,4319.072026110211,7.68,0.502,0.0,1.66,4552.877313578745,19.8,0.473,0.0,1.23,861.0520730478511,20.5,0.62,0.0,1.8,3442.755729063564,7.68,0.557,0.0,0.806,4095.165313024615,19.8,0.757,0.0,2.51,861.0520730478511,40.3,1.167,0.0,0.696,4073.337801030771,19.8,0.452,0.0,2.65,3968.115298854104,19.8,0.554,0.0,1.3,4095.165313024615,39.7,1.331,0.0,3.03,7723.644674220265,19.8,0.45,0.0,7.86,4552.877313578745,19.2,0.753,0.0,3.02,4319.072026110211,19.8,0.356,0.0,1.47,4814.518319149272,7.68,1.017,0.0,1.77,7723.644674220265,19.8,0.765,0.0,1.25,4073.337801030771
1731069781.8,8.32,0.646,0.0,1.11,3968.024904155719,20.5,0.647,0.0,1.45,3442.918542457837,39.7,0.555,0.0,1.35,4815.219816944111,20.5,0.871,0.0,4.09,4304.011181444584,20.5,0.76,0.0,1.44,4304.011181444584,39.7,1.735,0.0,2.0,4319.212595535635,8.32,0.586,0.0,1.72,4552.830105549734,20.5,0.504,0.0,0.696,861.0927592309675,19.8,0.619,0.0,1.66,3442.918542457837,8.32,0.619,0.0,1.09,4095.071583501319,19.9,0.828,0.0,1.74,861.0927592309675,39.7,1.061,0.0,0.865,4073.5884689469553,19.8,0.491,0.0,0.966,3968.024904155719,20.5,0.459,0.0,1.55,4095.071583501319,40.3,1.613,0.0,2.19,7723.953829300489,20.5,0.412,0.0,2.17,4552.830105549734,20.5,0.601,0.03,2.36,4319.212595535635,20.5,0.367,0.0,0.801,4815.219816944111,8.33,0.825,0.0,1.78,7723.953829300489,20.5,0.774,0.0,0.829,4073.5884689469553
1731069782.3,7.67,0.556,0.0,1.22,3967.9345288197487,19.8,0.63,0.0,1.28,3443.081359770634,40.3,0.345,0.0,0.873,4815.515747570225,19.8,0.979,0.0,1.56,4304.214685921231,19.8,0.916,0.0,6.73,4304.214685921231,40.3,1.4,0.0,2.19,4319.552882487473,7.68,1.099,0.0,1.61,4552.782897580336,19.9,0.456,0.0,0.813,861.1334463949244,19.8,0.682,0.0,1.01,3443.081359770634,7.68,0.645,0.0,0.81,4094.977854030471,20.5,0.778,0.0,0.834,861.1334463949244,39.7,1.052,0.0,0.82,4073.91262677022,20.5,0.73,0.0,0.919,3967.9345288197487,19.8,0.443,0.0,1.08,4094.977854030471,39.7,0.771,0.0,1.69,7724.119700472195,19.8,0.771,0.0,1.66,4552.782897580336,19.8,0.648,0.0,2.01,4319.552882487473,19.8,0.331,0.0,1.02,4815.515747570225,7.68,0.826,0.0,2.87,7724.119700472195,19.8,0.74,0.0,1.04,4073.91262677022
1731069782.8,7.68,0.496,0.0,4.23,3967.8441728475177,19.8,0.763,0.0,2.82,3443.2441810014,40.3,0.367,0.0,1.19,4815.29350077799,19.9,1.061,0.0,1.59,4304.418195296549,19.8,0.879,0.0,1.75,4304.418195296549,40.3,1.395,0.0,1.66,4318.953027920303,7.68,0.777,0.0,1.65,4552.735689670552,19.8,0.519,0.0,1.31,861.1741345395825,19.8,0.693,0.0,6.38,3443.2441810014,7.67,0.398,0.0,0.814,4094.884124612076,19.8,0.463,0.0,1.33,861.1741345395825,40.3,1.189,0.0,1.95,4073.316924752248,19.9,0.549,0.0,0.938,3967.8441728475177,19.8,0.468,0.0,2.78,4094.884124612076,40.3,0.718,0.0,4.99,7723.479541897323,19.8,0.668,0.0,1.81,4552.735689670552,19.9,0.941,0.0,4.09,4318.953027920303,19.8,0.663,0.0,1.89,4815.29350077799,8.31,0.958,0.0,1.73,7723.479541897323,19.8,0.851,0.0,0.816,4073.316924752248
1731069783.3,8.32,0.498,0.0,0.949,3967.753836240349,19.8,0.876,0.0,1.24,3443.407006149579,39.7,0.408,0.0,1.03,4815.75306371392,19.8,1.005,0.0,2.14,4304.621709569843,19.9,0.987,0.0,2.05,4304.621709569843,39.7,1.505,0.0,6.91,4319.439354871655,8.32,0.801,0.0,1.78,4552.688481820384,19.8,0.586,0.0,1.12,861.2148236648031,20.5,0.682,0.0,0.879,3443.407006149579,8.33,0.592,0.0,1.09,4094.790395246136,19.8,0.275,0.0,1.13,861.2148236648031,40.3,1.207,0.0,2.31,4073.803632245036,19.8,0.398,0.0,1.17,3967.753836240349,19.9,0.66,0.0,0.756,4094.790395246136,39.7,0.809,0.0,1.98,7723.821338932184,19.8,0.614,0.0,1.87,4552.688481820384,19.8,0.802,0.0,2.04,4319.439354871655,19.8,0.362,0.0,8.11,4815.75306371392,7.68,0.525,0.0,7.95,7723.821338932184,19.8,0.759,0.0,0.856,4073.803632245036
