Time,F4S1Bitrate,F4S1Jitter,F4S1Datagrams,F4S1Delay,F4S1Distance,F4C1Bitrate,F4C1Jitter,F4C1Datagrams,F4C1Delay,F4C1Distance,F4F2Bitrate,F4F2Jitter,F4F2Datagrams,F4F2Delay,F4F2Distance,F4F1Bitrate,F4F1Jitter,F4F1Datagrams,F4F1Delay,F4F1Distance,F2F4Bitrate,F2F4Jitter,F2F4Datagrams,F2F4Delay,F2F4Distance,F2F1Bitrate,F2F1Jitter,F2F1Datagrams,F2F1Delay,F2F1Distance,F2S1Bitrate,F2S1Jitter,F2S1Datagrams,F2S1Delay,F2S1Distance,F2C1Bitrate,F2C1Jitter,F2C1Datagrams,F2C1Delay,F2C1Distance,F1S1Bitrate,F1S1Jitter,F1S1Datagrams,F1S1Delay,F1S1Distance,F1F2Bitrate,F1F2Jitter,F1F2Datagrams,F1F2Delay,F1F2Distance,F1C1Bitrate,F1C1Jitter,F1C1Datagrams,F1C1Delay,F1C1Distance,F1F4Bitrate,F1F4Jitter,F1F4Datagrams,F1F4Delay,F1F4Distance,C1S1Bitrate,C1S1Jitter,C1S1Datagrams,C1S1Delay,C1S1Distance,C1F1Bitrate,C1F1Jitter,C1F1Datagrams,C1F1Delay,C1F1Distance,C1F2Bitrate,C1F2Jitter,C1F2Datagrams,C1F2Delay,C1F2Distance,C1F4Bitrate,C1F4Jitter,C1F4Datagrams,C1F4Delay,C1F4Distance,S1F2Bitrate,S1F2Jitter,S1F2Datagrams,S1F2Delay,S1F2Distance,S1F4Bitrate,S1F4Jitter,S1F4Datagrams,S1F4Delay,S1F4Distance,S1C1Bitrate,S1C1Jitter,S1C1Datagrams,S1C1Delay,S1C1Distance,S1F1Bitrate,S1F1Jitter,S1F1Datagrams,S1F1Delay,S1F1Distance
1731070780.55,40.3,0.629,0.0,2.0,5316.953766005035,8.32,1.095,0.0,1.04,3827.909155139395,19.8,0.89,0.0,1.91,4718.686681694389,19.8,0.746,0.0,0.704,3774.6844649586255,19.8,0.52,0.0,1.74,4718.686681694389,19.8,0.714,0.0,0.747,944.0023358021962,39.7,1.179,0.0,1.66,4415.914109567792,8.31,0.671,0.0,2.29,4458.818365890228,40.3,0.806,0.0,1.06,4205.695657721604,19.8,0.57,0.0,0.734,944.0023358021962,8.32,1.0,0.0,1.12,3908.284220217357,19.8,0.553,0.0,1.53,3774.6844649586255,40.3,1.161,0.0,3.83,7697.623864119786,19.8,0.462,0.0,2.21,3908.284220217357,19.8,0.903,0.0,4.48,4458.818365890228,19.8,0.619,0.0,0.777,3827.909155139395,19.8,1.211,0.0,2.21,4415.914109567792,19.9,0.97,0.0,3.0,5316.953766005035,8.33,0.523,0.0,1.89,7697.623864119786,19.8,0.305,0.0,0.874,4205.695657721604
1731070781.05,39.7,0.665,0.0,1.16,5317.396157939672,7.69,1.105,0.0,0.821,3827.8597499124753,19.8,1.16,0.0,2.25,4718.898712888421,19.8,0.984,0.0,0.754,3774.854101816386,19.8,0.455,0.0,1.95,4718.898712888421,19.8,0.735,0.0,0.957,944.0447301372966,40.3,1.434,0.0,1.58,4415.939178429125,7.68,0.667,0.0,2.6,4458.771280577195,39.7,0.939,0.0,0.941,4205.7905151033565,19.8,0.612,0.0,0.807,944.0447301372966,7.68,0.499,0.0,0.782,3908.190602951703,19.8,0.662,0.0,0.983,3774.854101816386,39.7,1.347,0.0,1.64,7697.71161300403,19.8,0.478,0.0,3.69,3908.190602951703,19.8,1.157,0.0,2.18,4458.771280577195,19.9,0.73,0.0,0.877,3827.8597499124753,19.8,1.06,0.0,2.0,4415.939178429125,19.8,1.0,0.0,4.965,5317.396157939672,7.67,0.527,0.0,1.54,7697.71161300403,19.8,0.264,0.0,3.54,4205.7905151033565
1731070781.55,40.3,0.625,0.0,0.723,5317.531800153902,8.31,0.589,0.0,0.924,3827.810366253793,20.5,0.961,0.0,3.05,4719.110747799844,20.5,0.817,0.0,0.782,3775.023741647197,19.8,0.774,0.0,3.65,4719.110747799844,20.5,0.456,0.0,0.871,944.0871252167354,40.4,1.246,0.0,1.75,4416.164237509458,8.32,0.91,0.0,2.03,4458.724195327628,40.3,0.907,0.0,2.1,4205.975759910593,20.5,0.892,0.0,0.835,944.0871252167354,8.32,0.912,0.0,0.804,3908.096985746388,20.5,0.479,0.0,7.93,3775.023741647197,40.4,1.087,0.0,1.98,7697.725169030443,19.9,0.625,0.0,7.55,3908.096985746388,20.5,1.147,0.0,11.9,4458.724195327628,20.5,0.661,0.0,0.975,3827.810366253793,19.8,0.682,0.0,2.05,4416.164237509458,20.5,1.025,0.0,6.93,5317.531800153902,8.33,1.174,0.0,2.34,7697.725169030443,20.5,0.31,0.0,1.53,4205.975759910593
1731070782.05,39.7,0.654,0.0,0.759,5318.128196537675,7.68,0.942,0.0,0.706,3827.761004164184,19.8,0.909,0.0,1.81,4719.322786428154,19.9,0.859,0.0,0.866,3775.193384450657,20.5,0.491,0.0,1.97,4719.322786428154,19.8,0.508,0.0,1.73,944.1295210404126,39.7,1.38,0.0,2.44,4416.62497042741,7.68,0.909,0.0,2.95,4458.677110141527,39.7,0.94,0.0,0.929,4206.475451416939,19.8,0.64,0.0,1.2,944.1295210404126,7.68,0.455,0.0,0.889,3908.0033686014144,19.8,0.51,0.0,0.868,3775.193384450657,39.7,1.112,0.0,4.27,7698.140990269449,20.5,0.524,0.0,1.29,3908.0033686014144,19.8,1.196,0.0,1.75,4458.677110141527,19.8,0.793,0.0,2.75,3827.761004164184,20.5,0.737,0.0,2.13,4416.62497042741,19.2,0.394,0.0,0.847,5318.128196537675,7.68,0.694,0.0,1.99,7698.140990269449,19.8,0.259,0.0,1.39,4206.475451416939
1731070782.55,39.7,0.481,0.0,0.752,5318.544842202886,8.32,0.533,0.0,0.683,3827.711663644481,19.8,1.055,0.0,4.86,4719.534828772852,19.8,0.849,0.0,0.809,3775.363030226366,19.8,0.415,0.0,2.31,4719.534828772852,19.8,0.429,0.0,1.03,944.1719176082275,40.3,1.357,0.0,1.61,4416.539812520174,8.32,0.421,0.0,2.28,4458.630025018895,39.7,0.565,0.0,0.939,4206.471230313819,19.8,0.645,0.0,0.775,944.1719176082275,8.32,1.054,0.0,0.668,3907.909751516788,19.9,0.451,0.0,0.714,3775.363030226366,40.3,1.264,0.0,3.86,7698.153601486425,19.9,0.684,0.0,1.89,3907.909751516788,19.8,1.704,0.0,1.45,4458.630025018895,19.8,1.015,0.0,0.795,3827.711663644481,19.8,0.827,0.0,1.41,4416.539812520174,20.5,0.432,0.0,3.22,5318.544842202886,8.32,1.211,0.0,2.58,7698.153601486425,19.8,0.304,0.0,2.04,4206.471230313819
1731070783.05,40.3,0.567,0.0,0.748,5318.523506516598,7.68,0.948,0.0,0.695,3827.662344695519,19.8,1.396,0.0,3.01,4719.746874833438,19.8,1.069,0.0,3.44,3775.532678973921,19.8,0.641,0.0,9.06,4719.746874833438,19.8,0.493,0.0,1.07,944.2143149200832,39.7,0.691,0.0,1.58,4416.355272184469,7.68,0.719,0.0,2.12,4458.582939959736,40.3,0.443,0.0,0.871,4206.272778699327,19.8,0.892,0.0,1.44,944.2143149200832,7.68,1.004,0.0,1.79,3907.816134492512,19.8,0.451,0.0,0.717,3775.532678973921,39.7,0.953,0.0,4.79,7697.851457099284,19.2,0.739,0.032,0.709,3907.816134492512,19.8,1.412,0.0,2.82,4458.582939959736,19.8,0.997,0.0,0.756,3827.662344695519,19.8,0.848,0.0,2.99,4416.355272184469,19.2,0.502,0.032,0.735,5318.523506516598,7.68,0.724,0.0,1.59,7697.851457099284,19.8,0.318,0.0,4.54,4206.272778699327
1731070783.55,39.7,0.542,0.016,1.06,5318.599801635099,7.68,0.545,0.0,0.898,3827.613047318133,20.5,1.038,0.0,1.39,4719.958924609408,19.9,0.99,0.0,0.637,3775.7023306929264,20.5,0.692,0.0,1.41,4719.958924609408,20.5,0.47,0.0,2.67,944.2567129758736,40.3,0.872,0.0,3.21,4416.247656947933,7.68,0.434,0.0,5.39,4458.535854964049,40.3,0.328,0.0,1.37,4206.163619085303,19.8,0.84,0.0,0.735,944.2567129758736,7.69,0.613,0.0,1.09,3907.722517528592,19.8,0.616,0.0,1.02,3775.7023306929264,40.3,1.284,0.0,11.6,7697.649186584948,19.8,0.815,0.0,1.33,3907.722517528592,20.5,1.523,0.0,1.92,4458.535854964049,19.8,1.024,0.0,0.795,3827.613047318133,20.5,0.834,0.0,1.66,4416.247656947933,19.8,0.542,0.031,4.92,5318.599801635099,8.32,0.795,0.0,2.13,7697.649186584948,20.5,0.368,0.0,0.949,4206.163619085303
1731070784.05,39.7,0.567,0.0,0.763,5319.261537062916,8.32,0.504,0.0,0.905,3827.563771513154,19.8,1.219,0.0,1.5,4720.170978100264,20.5,0.957,0.0,1.02,3775.871985382979,19.8,0.636,0.0,2.19,4720.170978100264,19.8,0.534,0.0,0.885,944.2991117755008,39.6,0.763,0.0,1.83,4416.281375437844,8.32,1.054,0.0,1.51,4458.488770031837,39.7,0.39,0.0,0.726,4206.321233981545,20.5,0.812,0.0,0.696,944.2991117755008,8.31,0.795,0.0,8.1,3907.628900625032,20.5,0.724,0.0,0.607,3775.871985382979,39.7,1.157,0.0,1.66,7697.872237030198,20.5,0.45,0.0,1.06,3907.628900625032,19.9,1.72,0.0,2.01,4458.488770031837,20.5,1.07,0.0,0.793,3827.563771513154,19.8,0.823,0.0,1.85,4416.281375437844,19.8,0.701,0.0,1.03,5319.261537062916,7.68,0.781,0.0,7.86,7697.872237030198,19.8,0.329,0.0,2.94,4206.321233981545
1731070784.55,39.7,0.698,0.0,0.836,5318.971879771215,8.32,0.964,0.0,0.849,3827.5145172814177,19.8,1.33,0.0,1.76,4720.383035305504,19.9,0.689,0.0,0.789,3776.04164304368,19.8,0.615,0.0,1.77,4720.383035305504,19.8,0.448,0.0,0.841,944.3415113188654,40.3,0.825,0.0,2.5,4416.356226108139,8.32,0.966,0.0,3.0,4458.441685163101,40.3,0.434,0.0,0.805,4206.272744674682,19.8,0.749,0.0,0.897,944.3415113188654,8.32,0.539,0.0,1.02,3907.535283781837,19.8,0.609,0.0,1.29,3776.04164304368,40.3,1.076,0.0,2.44,7697.551038431816,19.9,0.65,0.0,0.823,3907.535283781837,19.8,1.009,0.0,1.64,4458.441685163101,19.8,0.855,0.0,0.985,3827.5145172814177,19.8,0.819,0.0,2.45,4416.356226108139,19.8,0.529,0.0,2.13,5318.971879771215,8.32,0.812,0.0,1.61,7697.551038431816,19.8,0.408,0.0,2.57,4206.272744674682
1731070785.05,40.3,0.66,0.0,0.944,5319.52449915266,7.68,0.538,0.0,1.47,3827.465284623756,19.9,1.267,0.0,1.47,4720.595096224627,19.8,0.487,0.0,0.883,3776.211303674625,19.8,0.518,0.0,1.69,4720.595096224627,19.8,0.565,0.0,0.739,944.3839116058668,39.6,0.85,0.0,2.31,4416.403384335665,7.68,0.576,0.0,1.71,4458.394600357846,39.7,0.443,0.0,0.831,4206.414047985847,19.8,0.652,0.0,0.892,944.3839116058668,7.68,0.998,0.0,0.852,3907.4416669990105,19.8,0.532,0.0,0.797,3776.211303674625,39.7,1.343,0.0,1.59,7697.716403147804,19.8,0.683,0.0,0.909,3907.4416669990105,19.8,0.656,0.0,1.4,4458.394600357846,19.8,0.697,0.0,1.01,3827.465284623756,19.8,0.882,0.0,1.71,4416.403384335665,19.8,0.542,0.0,1.12,5319.52449915266,7.67,1.4,0.0,1.75,7697.716403147804,19.9,0.341,0.0,2.37,4206.414047985847
