Time,F4C1Bitrate,F4C1Jitter,F4C1Datagrams,F4C1Delay,F4C1Distance,F4F2Bitrate,F4F2Jitter,F4F2Datagrams,F4F2Delay,F4F2Distance,F4F1Bitrate,F4F1Jitter,F4F1Datagrams,F4F1Delay,F4F1Distance,F4S1Bitrate,F4S1Jitter,F4S1Datagrams,F4S1Delay,F4S1Distance,F2S1Bitrate,F2S1Jitter,F2S1Datagrams,F2S1Delay,F2S1Distance,F2C1Bitrate,F2C1Jitter,F2C1Datagrams,F2C1Delay,F2C1Distance,F2F1Bitrate,F2F1Jitter,F2F1Datagrams,F2F1Delay,F2F1Distance,F2F4Bitrate,F2F4Jitter,F2F4Datagrams,F2F4Delay,F2F4Distance,F1C1Bitrate,F1C1Jitter,F1C1Datagrams,F1C1Delay,F1C1Distance,F1F4Bitrate,F1F4Jitter,F1F4Datagrams,F1F4Delay,F1F4Distance,F1F2Bitrate,F1F2Jitter,F1F2Datagrams,F1F2Delay,F1F2Distance,F1S1Bitrate,F1S1Jitter,F1S1Datagrams,F1S1Delay,F1S1Distance,C1F1Bitrate,C1F1Jitter,C1F1Datagrams,C1F1Delay,C1F1Distance,C1F2Bitrate,C1F2Jitter,C1F2Datagrams,C1F2Delay,C1F2Distance,C1F4Bitrate,C1F4Jitter,C1F4Datagrams,C1F4Delay,C1F4Distance,C1S1Bitrate,C1S1Jitter,C1S1Datagrams,C1S1Delay,C1S1Distance,S1F1Bitrate,S1F1Jitter,S1F1Datagrams,S1F1Delay,S1F1Distance,S1F2Bitrate,S1F2Jitter,S1F2Datagrams,S1F2Delay,S1F2Distance,S1F4Bitrate,S1F4Jitter,S1F4Datagrams,S1F4Delay,S1F4Distance,S1C1Bitrate,S1C1Jitter,S1C1Datagrams,S1C1Delay,S1C1Distance
1731071782.23,8.32,0.303,0.0,0.845,3773.095347324262,19.8,1.004,0.0,1.81,5149.563476645375,19.8,0.379,0.0,0.749,4119.408065487079,40.3,1.047,0.0,1.64,5822.400601742025,40.3,0.839,0.0,2.89,4513.72733943014,8.32,1.14,0.0,2.39,4364.777339109064,19.9,0.659,0.0,1.18,1030.1555270928766,19.8,1.043,0.0,2.17,5149.563476645375,8.32,0.595,0.0,6.41,3721.1763658821646,19.8,0.621,0.0,1.3,4119.408065487079,19.8,0.671,0.0,0.84,1030.1555270928766,40.3,0.705,0.0,1.2,4339.616996581341,19.8,0.546,0.0,1.42,3721.1763658821646,19.9,1.052,0.0,1.52,4364.777339109064,19.8,0.467,0.0,0.87,3773.095347324262,40.3,0.899,0.0,2.58,7673.221219102477,19.8,0.409,0.0,1.04,4339.616996581341,19.8,0.844,0.0,1.78,4513.72733943014,19.8,1.432,0.0,1.47,5822.400601742025,8.32,1.272,0.0,1.41,7673.221219102477
1731071782.73,7.68,0.462,0.0,1.93,3773.0902805260303,19.8,0.758,0.0,2.27,5149.782040290637,19.8,0.515,0.0,1.22,4119.58292670508,39.7,1.016,0.0,1.71,5822.392048264206,39.7,0.854,0.0,1.71,4513.375230971087,7.68,0.841,0.0,1.65,4364.730384857695,19.8,0.641,0.0,0.811,1030.1992295182529,19.8,1.153,0.0,1.67,5149.782040290637,7.67,0.601,0.0,0.913,3721.0828785448994,19.8,0.566,0.0,0.809,4119.58292670508,19.8,0.72,0.0,1.21,1030.1992295182529,39.7,0.727,0.0,1.36,4339.280251254649,19.9,0.53,0.0,5.82,3721.0828785448994,19.8,1.181,0.0,4.41,4364.730384857695,19.8,0.354,0.0,1.31,3773.0902805260303,39.7,0.899,0.0,2.15,7672.831750765736,19.8,0.359,0.0,2.39,4339.280251254649,19.8,0.951,0.0,4.74,4513.375230971087,19.8,1.481,0.0,1.7,5822.392048264206,7.68,0.869,0.0,2.31,7672.831750765736
1731071783.23,8.32,0.488,0.0,1.48,3773.085236248977,19.8,0.699,0.0,1.82,5150.00060679608,19.8,0.46,0.031,1.07,4119.757790210488,40.3,1.151,0.0,1.76,5822.652748088418,40.3,1.013,0.0,2.14,4513.595896327295,8.32,1.458,0.0,2.38,4364.683430673982,20.5,0.67,0.0,1.16,1030.2429325164042,19.8,1.105,0.0,1.87,5150.00060679608,7.69,0.997,0.0,1.12,3720.989391277541,19.8,0.537,0.0,1.17,4119.757790210488,20.5,1.388,0.0,5.38,1030.2429325164042,40.4,0.902,0.0,0.843,4339.492296774865,20.5,0.665,0.0,0.85,3720.989391277541,20.5,1.154,0.0,3.13,4364.683430673982,20.5,0.532,0.0,1.62,3773.085236248977,40.3,1.672,0.0,2.02,7672.920730208162,20.5,0.476,0.0,0.993,4339.492296774865,20.5,0.782,0.0,5.22,4513.595896327295,20.5,1.532,0.0,1.8,5822.652748088418,8.33,1.179,0.0,2.78,7672.920730208162
1731071783.73,7.68,0.398,0.0,0.94,3773.080214493193,20.5,0.445,0.0,1.89,5150.219176161341,19.8,0.742,0.0,0.792,4119.932656003009,39.0,1.24,0.0,1.97,5823.091262794563,39.7,1.228,0.0,2.38,4514.025901638703,7.68,1.389,0.0,2.92,4364.636476557927,19.8,1.033,0.0,1.6,1030.2866360872583,20.5,1.246,0.0,1.72,5150.219176161341,8.31,0.772,0.0,1.04,3720.895904080091,20.5,0.435,0.0,1.05,4119.932656003009,19.8,0.935,0.0,0.843,1030.2866360872583,39.7,1.109,0.0,1.27,4339.926227972759,19.8,0.69,0.0,1.34,3720.895904080091,19.8,1.523,0.0,1.84,4364.636476557927,19.8,0.412,0.0,0.899,3773.080214493193,39.7,0.917,0.0,1.95,7673.230832854331,19.8,0.747,0.0,0.933,4339.926227972759,19.9,1.124,0.0,8.17,4514.025901638703,19.2,0.927,0.0,2.2,5823.091262794563,7.67,1.167,0.0,1.63,7673.230832854331
1731071784.23,8.32,0.471,0.0,0.942,3773.075215258768,19.8,0.339,0.0,12.1,5150.4377483860535,19.8,0.589,0.0,6.15,4120.107524082352,40.3,0.475,0.0,1.67,5823.289634474072,39.7,1.166,0.016,2.01,4514.197454503091,7.68,1.067,0.077,1.91,4364.589522509534,19.8,0.763,0.0,0.751,1030.3303402307424,19.8,1.198,0.0,2.16,5150.4377483860535,8.32,0.476,0.0,0.996,3720.8024169525593,19.8,0.726,0.0,0.839,4120.107524082352,19.8,0.672,0.0,1.2,1030.3303402307424,39.7,0.611,0.0,1.39,4340.080684721918,19.8,0.689,0.0,0.971,3720.8024169525593,19.8,1.379,0.0,1.97,4364.589522509534,19.8,0.479,0.0,1.2,3773.075215258768,40.3,0.749,0.0,2.66,7673.255932992872,19.9,0.455,0.0,0.872,4340.080684721918,19.8,0.978,0.0,2.77,4514.197454503091,20.5,0.813,0.0,1.56,5823.289634474072,8.32,0.896,0.0,2.37,7673.255932992872
1731071784.73,7.68,0.318,0.0,1.69,3773.070238545792,19.8,0.246,0.0,2.05,5150.656323469855,19.8,0.481,0.0,1.36,4120.282394448224,39.0,0.976,0.032,2.49,5823.311170145625,39.7,0.533,0.0,1.67,4514.110197040845,7.68,0.969,0.0,1.79,4364.542568528803,19.8,0.593,0.0,1.26,1030.3740449467866,19.8,1.245,0.0,8.76,5150.656323469855,7.68,0.752,0.0,1.02,3720.7089298949454,19.8,0.483,0.0,1.31,4120.282394448224,20.5,0.735,0.0,1.34,1030.3740449467866,40.3,0.249,0.0,0.803,4339.972358742019,19.8,0.673,0.0,0.828,3720.7089298949454,19.8,1.32,0.0,1.56,4364.542568528803,19.8,0.517,0.0,1.21,3773.070238545792,39.7,0.676,0.0,1.82,7673.032705023176,19.8,0.655,0.0,1.03,4339.972358742019,19.8,1.119,0.0,1.59,4514.110197040845,19.8,1.039,0.0,5.77,5823.311170145625,7.68,1.685,0.0,2.38,7673.032705023176
1731071785.23,8.32,0.455,0.0,0.96,3773.0652843543535,20.5,0.297,0.0,3.23,5150.8749014123805,19.2,0.547,0.032,1.1,4120.457267100339,40.3,0.506,0.0,12.0,5823.436161046288,40.3,0.669,0.0,1.7,4513.756414779306,8.32,0.676,0.0,1.58,4364.495614615737,19.9,0.722,0.0,1.05,1030.4177502353116,20.5,1.268,0.0,1.46,5150.8749014123805,7.68,0.449,0.0,1.07,3720.6154429072617,20.5,0.589,0.0,4.6,4120.457267100339,19.9,0.728,0.0,0.809,1030.4177502353116,40.3,0.432,0.0,0.983,4339.6700563017785,20.5,0.685,0.0,1.5,3720.6154429072617,20.5,1.361,0.0,1.71,4364.495614615737,20.5,0.425,0.0,6.37,3773.0652843543535,40.3,0.823,0.0,1.76,7672.720080804812,20.5,0.545,0.0,1.22,4339.6700563017785,20.5,0.984,0.0,1.76,4513.756414779306,20.5,0.753,0.0,1.91,5823.436161046288,8.32,1.212,0.0,4.79,7672.720080804812
1731071785.73,7.68,0.565,0.0,1.07,3773.060352684542,19.8,0.281,0.0,2.12,5151.093482213267,20.5,0.535,0.0,0.991,4120.632142038403,39.7,0.553,0.0,1.82,5823.632975649944,39.7,0.716,0.0,6.89,4513.824576221883,7.68,1.479,0.0,1.68,4364.448660770338,20.5,0.9,0.0,0.806,1030.4614560962482,19.8,1.213,0.0,1.96,5151.093482213267,8.32,0.82,0.0,0.87,3720.521955989509,19.8,0.521,0.0,0.86,4120.632142038403,19.8,0.883,0.0,1.17,1030.4614560962482,39.7,0.356,0.0,1.64,4339.7380739405935,19.8,0.718,0.0,0.901,3720.521955989509,19.8,1.496,0.0,2.15,4364.448660770338,19.8,0.422,0.0,1.25,3773.060352684542,39.7,0.586,0.0,2.16,7672.686220294238,19.8,0.494,0.0,1.29,4339.7380739405935,19.8,1.016,0.0,1.88,4513.824576221883,19.8,0.826,0.0,1.87,5823.632975649944,7.68,0.806,0.0,1.71,7672.686220294238
1731071786.23,7.68,0.475,0.0,0.899,3773.055443536445,19.8,0.39,0.0,3.18,5151.31206587215,19.8,0.614,0.0,1.13,4120.807019262125,40.3,0.689,0.0,1.9,5824.104362391176,40.3,0.73,0.0,2.22,4514.178518058665,8.32,1.072,0.0,3.52,4364.4017069926085,19.8,0.848,0.0,1.35,1030.505162529523,19.8,1.368,0.0,1.82,5151.31206587215,8.32,0.698,0.0,1.17,3720.428469141693,19.8,0.599,0.0,1.06,4120.807019262125,19.8,0.825,0.0,2.13,1030.505162529523,40.3,0.338,0.0,0.938,4340.117548644557,19.8,0.746,0.0,0.806,3720.428469141693,19.9,1.276,0.0,1.99,4364.4017069926085,19.8,0.386,0.0,0.872,3773.055443536445,40.3,0.615,0.0,2.17,7672.972773729308,19.8,0.498,0.0,0.784,4340.117548644557,19.8,1.217,0.0,1.77,4514.178518058665,19.8,0.954,0.0,2.26,5824.104362391176,8.32,0.708,0.0,1.67,7672.972773729308
1731071786.73,8.32,0.755,0.0,2.35,3773.050556910152,19.9,0.591,0.0,4.43,5151.530652388667,19.9,0.561,0.0,1.78,4120.981898771215,39.7,0.505,0.0,2.66,5824.5899316428,39.7,0.948,0.0,1.85,4513.874778304193,7.68,1.039,0.0,1.99,4364.354753282551,19.8,0.73,0.0,1.45,1030.5488695350634,19.9,1.64,0.0,2.1,5151.530652388667,7.68,0.509,0.0,4.84,3720.334982363821,19.8,0.634,0.0,0.968,4120.981898771215,20.5,0.836,0.0,0.731,1030.5488695350634,39.7,0.524,0.0,1.49,4339.953676687819,19.8,0.869,0.0,1.22,3720.334982363821,19.8,1.111,0.0,1.98,4364.354753282551,19.8,0.816,0.0,1.2,3773.050556910152,39.0,1.271,0.016,1.61,7672.89826773659,19.8,0.423,0.0,0.876,4339.953676687819,19.8,0.875,0.0,2.25,4513.874778304193,19.8,0.964,0.0,2.12,5824.5899316428,7.68,0.731,0.0,2.0,7672.89826773659
