['abnormal_start', 't_span', 't_delay']
[1725436745.351599, 0.6436400549514593, 55.18221056400337]
[1725436808.568629, 1.0520322254576107, 48.059785735026395]
[1725436828.29778, 0.7660179726646605, 22.549233145679345]
[1725436831.10409, 0.2757048790676614, 36.6396308393445]
[1725436836.429302, 1.3125172093776758, 30.312075688422695]
[1725436880.163457, 0.9150623777115988, 41.39163554895433]
[1725436895.246344, 0.9714709237169921, 29.39704103868099]
[1725436907.788783, 0.15673411760382006, 33.87028901382399]
[1725436940.252824, 0.39614635119396724, 45.314381418937245]
[1725437019.54188, 1.4664717138812733, 29.091688181893794]
[1725437054.216959, 1.4888346387971743, 33.81150061689554]
[1725437064.766343, 1.9711387471101482, 32.19013669953276]
[1725437075.898736, 1.4716597451034419, 34.08218378769561]
[1725437143.64447, 0.2710380750672967, 61.68002778457341]
[1725437169.399878, 1.5005276261580693, 15.515895668335013]
[1725437233.283375, 0.12101066819884879, 60.546243020793085]
[1725437281.535189, 0.2606067818081824, 32.94727794159013]
[1725437337.745655, 1.6739632758881984, 30.934729244781895]
[1725437425.34975, 0.350537368759791, 20.922820403824318]
[1725437443.477588, 1.9961107169530303, 45.709033029680214]
[1725437464.954207, 1.3183877891387998, 36.235955328391555]
[1725437476.434297, 0.8034051188052951, 42.50656440885385]
[1725437545.319748, 0.29875500066509364, 20.5150705900247]
[1725437556.17392, 1.5813766200261077, 69.09002807599639]
[1725437593.368288, 0.6530069901214848, 36.529322059546914]
[1725437596.366835, 0.98877888038936, 28.896698327311526]
[1725437599.097508, 1.6541405565613765, 65.99320087830705]
[1725437616.026062, 0.723002891370077, 24.65537792346389]
[1725437635.824638, 0.6894992658967202, 45.7815296030542]
[1725437700.985688, 1.0700651220888675, 43.326085913628404]
[1725437715.726716, 0.2466083416634795, 31.89273256108029]
[1725437716.010969, 0.2381945825328453, 59.25244119289306]
