timestamp,variable1,variable2,variable3,variable4,variable5
0,1,0,0,1,1
1,1,0,0,1,1
2,1,0,0,1,1
3,1,0,0,1,1
4,1,0,0,1,1
5,1,0,0,1,1
6,1,0,0,1,1
7,1,0,0,1,1
8,1,0,0,1,1
9,1,0,0,1,1
10,0,0,0,0,0
11,0,0,0,0,0
12,0,0,0,0,0
13,0,1,0,0,0
14,0,1,0,0,0
15,0,1,0,0,0
16,0,1,0,0,0
17,0,1,0,0,0
18,0,1,0,0,0
19,0,1,0,0,0
20,0,1,0,0,0
21,0,1,0,0,0
22,0,1,0,0,0
23,0,1,0,0,0
24,0,1,0,0,0
25,0,0,0,0,0
26,0,0,0,0,0
27,0,0,0,0,0
28,0,0,0,0,0
29,0,0,0,0,0
30,0,0,1,0,0
31,0,0,1,0,0
32,0,0,1,0,0
33,0,0,1,0,1
34,1,0,1,1,1
35,1,0,1,1,1
36,1,0,1,1,1
37,1,0,1,1,1
38,1,0,1,1,1
39,1,0,1,1,1
40,1,0,1,1,1
41,1,0,1,1,1
42,1,0,1,1,1
43,1,0,1,1,1
44,1,0,1,1,0
45,0,0,1,1,0
46,0,0,0,0,0
47,0,0,0,0,0
48,0,0,0,0,0
49,0,0,0,0,0
50,0,0,0,0,0
51,0,0,0,0,0
52,0,0,0,0,0
53,0,0,0,0,0
54,0,0,0,0,0
55,0,0,0,0,0
56,0,0,0,0,0
57,0,0,0,0,0
58,0,0,0,0,0
