timestamp,variable1,variable2,variable3,variable4,variable5,variable6,variable7
0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,0
2,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1
5,0,1,1,1,1,1,1
6,0,0,1,0,1,1,1
7,1,0,1,0,1,0,1
8,1,0,0,0,0,0,1
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,1,0,0,0,0
13,0,0,1,0,0,0,0
14,0,0,1,0,0,0,0
15,0,1,1,0,0,1,1
16,1,1,1,1,1,1,1
17,1,1,1,1,1,1,1
18,1,1,1,1,0,1,1
19,0,1,0,1,0,1,0
20,0,1,0,1,0,1,0
21,0,1,0,1,0,1,0
22,0,1,0,1,0,1,0
23,0,1,0,1,1,1,1
24,1,1,0,1,1,1,1
25,1,1,0,1,1,1,1
26,1,0,0,1,1,1,1
27,1,0,0,1,1,1,1
28,1,0,0,1,1,1,1
29,1,0,0,0,1,1,1
30,1,0,0,0,1,1,1
31,1,0,0,0,1,1,1
32,1,0,0,0,1,1,1
33,1,0,0,0,1,1,1
34,1,0,0,0,0,1,1
35,0,0,0,0,0,1,1
36,1,0,0,0,0,1,1
37,1,0,0,0,1,1,1
38,1,0,0,0,1,1,1
39,1,0,0,0,1,1,1
40,1,0,1,0,1,1,1
41,1,0,1,0,1,0,1
42,1,0,1,0,1,0,1
43,1,0,1,0,1,0,1
44,0,0,1,0,1,0,1
45,0,0,1,0,0,0,0
46,0,0,1,0,0,0,0
47,0,0,1,0,0,0,0
48,0,0,1,0,0,0,0
49,0,0,1,0,0,0,0
50,0,0,1,0,0,0,0
51,0,0,1,0,0,0,0
52,0,0,1,0,0,0,0
53,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0
55,0,1,0,0,1,0,0
56,1,1,1,1,1,0,1
57,1,1,1,1,1,0,1
58,1,1,1,1,1,1,1
59,1,1,1,1,1,1,1
60,1,1,1,1,1,1,1
61,1,1,1,1,1,1,1
62,1,1,1,1,1,0,1
63,1,1,1,1,1,0,1
64,1,1,1,1,1,1,1
65,0,0,0,0,0,0,0
