timestamp,variable1,variable2,variable3,variable4,variable5,variable6,variable7
0,1.124007,1.152762,0.974065,1.251721,0.967737,1.172856,0.034470
1,1.227661,1.075671,1.049279,1.251721,1.204772,1.090657,1.253837
2,1.228752,0.734077,0.970053,0.752069,0.809360,1.183532,1.232511
3,0.861054,1.061050,0.979079,1.134232,1.202646,0.817370,0.913685
4,1.281124,1.061050,0.963033,0.759816,1.202646,1.173924,1.189859
5,0.849052,0.914843,0.963033,0.931531,1.160128,1.174991,1.267379
6,0.849052,0.865664,1.077358,0.928948,1.127177,1.091724,1.181328
7,1.178561,0.472233,0.924925,0.542913,0.753025,1.210220,1.243174
8,1.178561,0.634391,0.924925,0.758525,1.226030,0.737305,0.900889
9,1.296399,0.166527,0.545848,0.310517,0.374620,0.737305,1.198389
10,0.472625,0.477550,0.545848,0.598430,1.004940,0.766129,0.606589
11,0.472625,0.480208,1.106441,0.568735,0.962423,0.999917,0.606589
12,0.984347,0.339318,0.849711,0.542913,0.656298,1.040483,1.073631
13,0.759582,0.365901,1.034236,0.622960,1.086786,0.754386,0.731347
14,0.759582,0.674265,1.034236,0.668148,0.849752,1.140831,1.139742
15,0.963616,0.706165,1.079364,0.646200,0.849752,0.954013,0.987260
16,1.228752,1.227195,1.117573,0.950897,0.941164,1.162181,1.138676
17,0.963616,1.314919,1.116971,1.374374,1.166506,0.951878,1.019249
18,1.204748,1.118204,1.116971,1.336933,0.969863,1.101332,1.105620
19,0.982165,1.373402,0.940971,1.409234,0.670116,1.091724,1.089626
20,0.745398,1.285678,0.718745,1.468624,0.665993,1.091724,0.696158
21,0.730850,1.285678,0.658574,0.117479,0.782916,0.925190,0.069983
22,0.905425,2.013291,0.658574,1.703582,0.878580,1.063613,0.836124
23,0.970890,1.747459,0.819030,1.703582,0.984873,1.074288,1.006733
24,0.970890,2.225956,0.688660,1.703582,1.186831,1.010236,1.017397
25,1.134554,0.697425,0.738802,1.961800,1.038020,1.373196,1.188006
26,1.025445,0.710716,0.658574,1.755226,1.069908,1.149015,1.092038
27,1.003623,0.710716,0.728774,1.342077,0.899838,1.223742,1.017397
28,0.992712,0.684133,0.758859,0.722355,1.080537,1.223742,1.006733
29,1.232752,0.737300,0.758859,0.580335,1.027390,1.223742,1.102701
30,1.090910,0.684133,0.678631,0.683622,1.144313,1.255768,1.156016
31,1.210930,0.883507,0.648546,0.644889,1.165572,1.255768,1.241321
32,1.167287,0.737300,0.648546,0.709444,1.091166,1.042262,1.145353
33,1.178198,0.830341,0.809002,0.644889,1.123055,0.967535,1.145353
34,0.872692,0.936673,0.798973,0.670711,0.867950,1.074288,1.145353
35,0.872692,0.684133,0.728774,1.122592,0.867950,1.106314,0.836124
36,1.058178,0.750591,0.698688,0.657800,1.006132,1.149015,0.985407
37,1.058178,0.724008,0.658574,0.761087,0.942356,1.191716,0.974744
38,1.069088,0.790466,0.688660,0.580335,0.984873,1.181041,1.060049
39,1.025445,1.029714,0.899258,0.657800,1.080537,1.213067,1.006733
40,1.014534,0.737300,1.019600,0.657800,1.154943,1.213067,1.006733
41,1.178198,0.856924,1.029629,0.657800,1.154943,0.657952,1.134690
42,1.210930,0.710716,1.149971,0.644889,1.112425,0.657952,1.134690
43,1.232752,0.684133,1.129914,0.567424,1.144313,0.657952,1.262647
44,0.676295,1.109464,1.230199,0.567424,1.144313,0.668628,1.230658
45,0.654473,0.817049,1.330484,0.903107,0.655363,0.679303,0.644189
46,0.676295,0.657550,1.300398,0.709444,0.665993,0.657952,0.665515
47,0.632652,0.896798,1.531054,0.709444,0.665993,0.657952,0.665515
48,0.719939,0.710716,1.430769,0.709444,0.697881,0.657952,0.654852
49,0.687206,1.149338,1.514306,0.580335,0.697881,0.711329,0.622863
50,0.643563,0.710716,1.597944,0.916018,0.697881,0.689978,0.622863
51,0.643563,0.790466,1.681481,0.593246,0.644734,0.711329,0.644189
52,0.665384,0.763883,0.718745,0.644889,0.612846,0.711329,0.612200
53,0.665384,0.763883,0.658574,0.644889,0.676622,0.679303,0.612200
54,0.665384,1.175922,0.235366,0.554513,0.634105,0.700654,0.601537
55,0.632652,0.684133,1.129306,0.980572,1.200520,0.657952,0.665515
56,1.247300,1.179345,1.126097,0.567424,1.206897,0.259053,1.213317
57,1.127280,1.269728,1.131011,1.171673,1.135681,1.176059,1.103488
58,1.080363,1.269728,1.134721,1.171673,1.162254,1.071441,1.071498
59,1.188381,1.493026,1.133518,1.542216,1.229219,0.997782,1.137609
60,1.116369,1.277703,1.133518,1.429891,1.229219,1.136560,1.069366
61,1.154557,0.940097,1.115868,1.445384,1.230282,0.975364,1.123747
62,1.154557,1.229853,1.115868,1.018034,1.126114,0.975364,1.123747
63,1.148011,1.116875,1.063318,1.356299,1.213275,0.999917,1.080029
64,1.194928,1.116875,1.078361,1.193622,1.189891,1.076779,1.163201
65,1.146920,1.116875,1.057301,1.193622,1.139933,1.110940,1.118416
