timestamp,variable1,variable2,variable3,variable4,variable5,variable6,variable7,variable8
0,0.697200,1.835473,1.933083,0.806818,2.003367,0.255190,4.076393,0.870715
1,0.353432,0.920618,1.933083,0.156674,0.767311,1.774566,0.422858,0.115000
2,1.404749,0.742468,1.087997,1.456961,0.534430,1.034735,0.212910,0.805000
3,2.455380,0.973016,1.455426,0.209964,1.101703,1.034735,0.442297,0.032857
4,2.455380,0.627194,0.244272,1.037032,0.379177,1.034735,0.290668,0.772143
5,1.287966,2.464239,0.244272,2.284029,2.540783,1.990780,0.656133,2.349287
6,0.982303,1.119728,0.911087,1.393013,1.722717,0.328732,0.426746,0.032857
7,0.982303,0.983495,0.911087,0.305887,0.158239,1.652487,0.364539,1.445715
8,0.310255,0.868221,1.564293,1.584858,0.158239,0.186061,0.547271,0.640715
9,0.310255,0.952057,0.462008,0.561681,0.050756,0.186061,0.496728,0.098571
10,0.587545,0.913283,0.708321,0.561681,1.000191,0.622900,0.457849,1.527858
11,0.210606,0.071784,0.489224,0.263255,0.994219,0.127228,0.146815,0.492857
12,0.491597,0.064449,0.489224,1.687176,0.994219,0.171353,0.053505,1.182858
13,0.251727,0.375688,0.366748,0.540365,0.361263,0.171353,0.251789,0.131429
14,0.758881,0.323291,0.150374,0.461495,0.761339,0.995022,0.488953,1.380001
15,0.135218,0.839927,0.721929,0.770580,0.140325,1.406857,0.267341,1.347144
16,0.135218,0.061305,0.545019,0.674657,0.188096,1.303898,0.092384,0.460000
17,0.039270,1.028557,1.620088,0.887819,0.349320,0.789105,0.226425,0.903572
18,0.395649,1.028557,0.395326,0.482812,0.349320,0.122815,0.494692,0.016429
19,0.333968,0.155620,0.218416,0.444442,0.540402,0.965605,0.821277,1.100715
20,11.597864,17.596545,22.468262,17.802211,0.540402,26.381692,8.286089,15.385365
21,11.597864,17.072573,22.468262,17.802211,19.343988,24.616686,8.091693,31.871446
22,11.803467,16.653396,21.515669,16.629821,20.179968,24.469602,8.441606,30.721445
23,11.392261,16.758190,22.468262,17.375888,19.702265,25.352105,8.441606,28.421444
24,11.734933,18.225311,22.604347,17.908792,21.135374,25.940441,8.519365,28.750015
25,12.077604,18.225311,23.284770,18.868020,20.418819,25.940441,7.469625,29.078587
26,12.077604,18.330105,23.829109,17.269307,20.597958,25.646273,7.080833,30.228588
27,12.283208,17.491750,23.284770,17.802211,20.777097,25.352105,7.080833,29.571444
28,11.666398,18.539694,24.237363,18.441697,20.060542,24.469602,7.314108,29.735730
29,11.940536,18.120517,23.965193,18.548278,20.179968,24.469602,7.469625,31.542874
30,11.666398,19.063666,24.509532,19.507506,20.179968,29.911704,8.363848,32.528589
31,12.625879,18.225311,23.829109,18.974601,19.941116,29.911704,8.208331,35.814305
32,12.625879,18.225311,23.148685,18.974601,20.538245,31.970878,8.052814,34.992876
33,12.900017,18.854077,26.142548,20.040411,20.418819,32.265046,8.597123,36.635734
34,12.351742,17.806134,24.237363,19.400925,19.941116,31.382543,8.441606,34.828590
35,12.283208,18.225311,24.781702,19.400925,18.388581,31.382543,8.636002,37.292877
36,12.351742,16.653396,24.781702,19.400925,18.328869,31.382543,6.419886,36.142877
37,13.722429,17.386956,23.693024,19.400925,18.328869,33.735884,6.964195,38.278592
38,11.597864,15.605452,21.515669,17.695630,17.910878,30.647123,6.653162,38.278592
39,11.597864,17.806134,22.876516,17.482468,19.463413,31.970878,6.653162,31.707160
40,11.803467,18.015722,23.829109,18.761440,21.015948,32.853381,6.458765,33.185732
41,12.968551,20.321198,26.686887,20.573315,21.015948,26.675860,6.458765,33.185732
42,12.900017,21.159553,28.047734,20.573315,23.882166,27.705447,6.847558,33.678589
43,11.803467,21.264347,27.911649,20.573315,24.479295,27.264195,6.458765,33.678589
44,12.214673,23.465029,27.911649,24.410228,24.479295,27.705447,6.497645,32.857160
