timestamp,variable1,variable2,variable3,variable4,variable5,variable6
0,1.058897,1.129266,1.226170,1.122755,1.021356,1.102100
1,1.058897,1.245943,1.221602,1.185948,1.021356,1.085944
2,0.948661,1.189986,1.167919,1.158205,0.939383,1.074195
3,1.222837,1.164984,1.297328,1.170535,0.907855,1.093288
4,1.043351,1.266183,1.236450,1.002534,0.953570,1.093288
5,1.140867,1.266183,1.236450,1.087305,0.923619,1.116787
6,1.118254,1.266183,1.257009,1.141251,1.007168,1.088882
7,1.118254,1.262612,1.149644,1.016406,0.967758,1.175534
8,1.214357,0.803047,0.816048,1.044149,1.119093,1.110912
9,0.868811,0.826859,0.816048,0.796155,1.119093,0.973149
10,0.882944,0.779235,0.838891,0.842394,1.007484,0.899715
11,0.967740,0.838765,0.838891,0.981110,1.023248,0.885028
12,0.967740,0.803047,0.816048,0.934872,0.928663,0.885028
13,0.826413,0.791141,0.804626,0.904046,1.023248,0.885028
14,0.882944,0.838765,0.861735,0.857807,0.991720,0.943776
15,0.868811,0.826859,0.793204,0.842394,1.007484,0.929089
16,1.038404,0.779235,0.793204,0.981110,1.007484,1.002523
17,0.854678,0.838765,0.816048,0.996523,1.117832,0.840968
18,0.925342,0.838765,0.827470,0.934872,0.944427,0.870342
19,0.840546,0.826859,0.770361,0.857807,0.928663,0.826281
20,0.996006,0.934011,0.827470,0.950284,0.897135,0.796908
21,1.306927,0.987587,0.827470,0.934872,0.928663,1.325633
22,1.024272,1.041163,0.953109,0.996523,1.039012,1.046584
23,1.137334,1.076881,0.907422,1.089001,1.039012,1.149391
24,1.151466,1.076881,1.078749,1.392173,1.039012,1.310947
25,1.688511,1.303091,1.101593,1.695192,2.016386,1.663431
26,1.490652,1.422149,1.250076,1.998364,1.527699,1.634057
27,1.462387,1.314997,1.250076,1.520563,1.606519,1.516562
28,1.462387,1.422149,1.375716,1.520563,1.795689,1.722178
29,1.702644,1.505490,1.455669,1.690105,1.906037,1.722178
30,2.126626,1.981723,1.604152,1.797996,2.599658,2.045288
31,1.886370,1.791230,1.615574,2.537817,2.599658,1.780925
32,1.843971,1.219751,1.524199,1.905886,1.811453,1.810299
33,1.306927,1.195939,1.444247,1.905886,1.748396,1.810299
34,1.476520,1.195939,1.455669,1.736344,1.748396,2.074662
35,1.321059,1.207845,1.421403,2.106255,1.921801,1.208139
36,1.264528,1.219751,1.489934,1.782583,1.921801,1.281573
37,1.264528,1.124504,1.581308,1.705518,1.921801,1.193452
38,1.306927,1.195939,1.661261,1.767170,1.937566,1.355007
39,1.429175,1.168556,1.298470,1.767170,1.391812,1.216657
40,1.204464,1.112598,1.214977,1.050314,1.391812,1.162316
41,1.317526,1.140577,1.131369,0.899268,1.032391,1.081538
42,1.044764,1.168556,1.186194,0.891561,0.988251,1.072726
43,1.092815,1.168556,1.098246,0.971708,1.060766,1.046290
44,1.152173,1.004255,1.027431,0.995599,1.087565,1.050696
45,1.056070,1.122123,1.067407,1.019489,0.963029,1.072726
46,1.252516,1.149506,1.003445,1.037984,1.104906,1.224001
47,1.054657,1.149506,0.976033,1.037984,1.062343,1.184346
48,1.210117,0.920915,0.976033,1.037984,1.106482,1.315059
49,1.136627,1.012589,0.914355,1.101177,1.098600,1.315059
50,1.136627,1.003065,1.014867,1.037984,1.046579,1.246031
51,1.263822,1.064975,0.964611,1.013323,1.013474,1.246031
52,1.263822,1.126885,0.922350,0.990204,0.994557,1.190221
53,1.412216,1.024495,1.085682,1.130462,1.155351,1.350307
54,1.153586,1.134029,0.944052,1.270719,1.101753,1.362057
55,1.409389,1.072714,0.944052,0.757469,1.101753,1.362057
56,1.344378,1.011399,0.952047,0.757469,1.117517,1.413461
57,1.316113,1.134029,0.897222,1.152040,1.177421,1.413461
58,1.374057,1.056641,1.051417,1.124297,1.040273,1.457521
