timestamp,variable1,variable2,variable3,variable4,variable5
0,0.132375,0.143536,0.064583,1.396212,0.558204
1,1.841043,0.143536,0.444068,2.634902,1.749953
2,1.841043,0.042735,0.496966,0.149410,0.304786
3,0.978971,0.450662,0.489044,0.135598,1.345854
4,0.521969,0.259670,0.511404,0.256179,0.297937
5,0.049284,0.246990,0.039028,0.554999,0.297937
6,2.443454,0.264975,0.039028,2.711635,2.119806
7,0.745173,0.206617,0.039028,0.456342,0.208898
8,0.869810,0.477189,0.039028,0.522113,1.085587
9,0.527058,0.280891,0.261353,0.324800,0.544506
10,0.755559,0.344555,0.217910,0.576923,1.428044
11,0.314241,0.344555,0.253686,0.576923,0.078765
12,0.932128,0.355166,0.263908,0.650367,1.010247
13,0.433581,0.320681,0.165523,0.650367,0.839018
14,0.506285,0.188048,0.165523,0.390571,0.900661
15,0.381649,0.381693,0.165523,0.368647,1.359552
16,0.173920,0.201311,0.211521,0.368647,0.167804
17,1.026645,0.323334,0.217910,0.390571,1.304759
18,0.381649,0.445357,0.224299,0.576923,0.113011
19,1.025606,4.267909,4.309332,0.576923,0.599299
20,1.025606,8.980909,8.843091,19.772675,19.331670
21,36.105804,13.693910,13.376849,40.174889,19.331670
22,54.671509,18.407176,17.910480,60.577104,56.796413
23,73.237214,4.321493,2.092220,80.979318,75.528785
24,1.456746,0.103746,1.868618,21.785272,25.256168
25,9.615269,3.499165,1.645016,21.785272,23.338412
26,17.773793,3.950119,1.696125,18.935189,21.420655
27,18.396978,3.684852,1.823898,19.921756,21.283672
28,18.708570,3.711378,1.721680,19.812137,22.516516
29,18.708570,3.897065,1.900561,19.812137,21.146690
30,19.227890,3.684852,1.938893,20.689086,23.201429
31,19.539483,3.897065,2.002780,21.894891,23.612377
32,20.370395,3.737905,2.104998,22.552603,23.612377
33,20.993580,3.552218,2.092220,22.552603,26.352029
34,21.409036,3.552218,2.424429,23.319933,26.625994
35,22.136085,3.578745,2.334989,24.087263,29.228664
36,21.824492,3.737905,1.862230,23.868026,27.447890
37,17.669929,3.897065,1.887784,22.662221,22.379533
38,17.669929,4.427600,1.836675,20.360230,22.516516
39,17.981521,4.798974,2.028334,19.702519,22.653499
40,19.227890,4.798974,1.990002,20.689086,24.571255
41,19.227890,5.276454,2.092220,20.689086,24.023325
42,19.747211,5.647828,2.168884,21.675654,25.119185
43,20.370395,5.541721,2.194439,22.223747,25.530133
44,20.681988,5.833515,2.194439,22.114128,26.078064
45,21.512900,5.700882,1.581130,23.319933,26.625994
46,15.904240,5.939622,1.632239,22.881458,19.091951
47,16.631288,4.825500,1.632239,23.539170,19.639881
48,16.215832,3.499165,1.619461,18.387096,19.639881
49,16.423560,3.393058,1.632239,17.400528,19.776864
50,16.423560,3.605272,1.581130,18.387096,19.502899
51,15.488783,3.446111,1.632239,16.852435,19.502899
52,16.527424,3.605272,1.555575,17.510147,19.365916
53,15.488783,3.525692,1.619461,17.181291,19.776864
54,16.839016,3.578745,1.581130,17.510147,20.187812
55,16.111968,3.525692,1.632239,17.290910,19.502899
56,15.696512,0.066025,0.201299,17.290910,19.639881
57,15.696512,0.127036,0.376348,2.963758,2.099258
58,15.696512,0.127036,0.168079,1.560640,1.688311
59,1.342495,0.076636,0.349516,2.876063,1.688311
60,1.342495,0.150910,0.182134,1.549678,2.195146
61,1.529451,0.212505,0.214077,2.799330,1.551328
62,1.539837,0.212505,0.214077,2.755483,1.921181
63,1.809884,0.178021,0.183411,1.966229,1.551328
64,2.588864,0.211922,0.298407,3.281652,1.277363
65,1.965680,0.085177,0.202577,1.944305,1.277363
66,2.765433,0.074567,0.202577,2.569131,1.277363
67,2.765433,0.055414,0.325239,2.273161,1.277363
68,1.654087,0.029471,0.289463,2.196428,1.811595
