timestamp,variable1,variable2,variable3,variable4,variable5
0,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,0
8,0,0,0,0,0
9,0,0,0,0,0
10,0,0,0,0,0
11,0,0,0,0,0
12,0,0,0,0,0
13,0,0,0,0,0
14,0,0,0,0,0
15,0,0,0,0,0
16,0,0,0,0,0
17,0,0,0,0,0
18,0,0,0,0,0
19,0,1,1,0,0
20,0,1,1,1,1
21,1,1,1,1,1
22,1,1,1,1,1
23,1,1,0,1,1
24,0,0,0,1,1
25,1,1,0,1,1
26,1,1,0,1,1
27,1,1,0,1,1
28,1,1,0,1,1
29,1,1,0,1,1
30,1,1,0,1,1
31,1,1,0,1,1
32,1,1,0,1,1
33,1,1,0,1,1
34,1,1,0,1,1
35,1,1,0,1,1
36,1,1,0,1,1
37,1,1,0,1,1
38,1,1,0,1,1
39,1,1,0,1,1
40,1,1,0,1,1
41,1,1,0,1,1
42,1,1,0,1,1
43,1,1,0,1,1
44,1,1,0,1,1
45,1,1,0,1,1
46,1,1,0,1,1
47,1,1,0,1,1
48,1,1,0,1,1
49,1,1,0,1,1
50,1,1,0,1,1
51,1,1,0,1,1
52,1,1,0,1,1
53,1,1,0,1,1
54,1,1,0,1,1
55,1,1,0,1,1
56,1,0,0,1,1
57,1,0,0,0,0
58,1,0,0,0,0
59,0,0,0,0,0
60,0,0,0,0,0
61,0,0,0,0,0
62,0,0,0,0,0
63,0,0,0,0,0
64,0,0,0,1,0
65,0,0,0,0,0
66,0,0,0,0,0
67,0,0,0,0,0
68,0,0,0,0,0
