timestamp,variable1,variable2,variable3,variable4,variable5,variable6,variable7,variable8
0,1.986847,0.504638,1.025942,0.221633,1.670184,0.453849,3.953419,1.153956
1,1.568598,1.222260,1.025942,0.379304,0.459906,0.073251,0.154122,0.237075
2,0.355675,0.341542,1.289450,0.980242,1.238885,0.079754,0.455556,1.153956
3,0.476502,0.264791,0.816019,0.135360,0.930814,0.079754,0.303136,0.290558
4,0.476502,0.972820,1.103282,0.016362,0.143033,0.079754,0.192764,0.590349
5,1.893903,0.752160,1.103282,0.132385,1.296098,0.321883,0.009586,0.050725
6,0.597004,0.118964,0.932029,0.281132,0.125429,0.601116,0.071879,0.111163
7,0.597004,0.274385,0.932029,0.025287,0.789982,0.297020,0.479207,0.458441
8,0.722479,0.370324,0.250167,0.230558,0.789982,0.015874,0.305764,0.296554
9,0.722479,0.377999,0.476662,0.185934,0.671154,0.015874,0.379346,0.449447
10,0.155519,0.934444,0.086814,0.185934,0.988027,0.328386,0.544905,0.602341
11,0.559827,0.992007,0.194924,0.412029,0.354281,0.586580,0.355695,0.345000
12,1.289440,1.089865,0.194924,1.063540,0.354281,0.754885,0.739371,0.740245
13,0.894426,0.648546,0.239118,0.007437,0.420297,0.754885,0.350439,0.140662
14,0.569121,0.830830,0.642391,0.885044,0.072617,0.724284,0.169112,0.578837
15,0.243816,1.490889,2.167092,2.101793,1.568961,0.286309,0.012214,1.298336
16,0.243816,0.293573,0.786022,0.349555,0.024206,0.655432,0.492346,0.098691
17,1.177906,1.905345,0.487711,2.253515,1.159667,0.810349,0.500230,0.452445
18,0.615593,1.905345,0.780498,0.114535,1.159667,0.586580,0.166484,0.309025
19,1.630406,1.567640,2.095276,2.625382,2.149894,3.948086,1.376893,3.598934
20,3.876869,16.179121,10.602668,20.748699,2.149894,2.494545,2.920533,6.888244
21,3.876869,16.754754,10.878882,20.748699,15.669802,2.628424,4.463910,10.178153
22,6.355229,15.315672,10.492182,21.224689,16.021883,2.571047,4.621585,10.417986
23,6.355229,16.275060,10.326454,20.510704,15.581782,2.456294,4.621585,10.058236
24,6.448174,16.658815,10.326454,21.819676,15.141680,2.494545,4.358793,10.417986
25,6.215813,16.658815,9.553054,19.201731,16.373964,2.494545,4.989494,11.497234
26,6.215813,16.658815,9.994997,20.986694,14.525539,2.532796,4.385073,10.238111
27,6.076396,15.411610,9.387326,19.915716,15.141680,2.437168,4.385073,10.477944
28,6.494646,15.699427,10.160725,20.391706,15.141680,2.398917,4.253677,9.938320
29,6.122868,15.795366,9.994997,21.819676,15.581782,2.398917,4.463910,9.878362
30,6.076396,16.083182,9.608297,20.391706,15.581782,2.418043,4.516469,10.058236
31,6.122868,16.275060,10.050240,20.748699,14.877620,2.456294,4.411352,10.477944
32,6.076396,16.275060,10.657910,20.748699,14.877620,2.532796,4.279956,9.938320
