timestamp,variable1,variable2,variable3,variable4,variable5,variable6
0,0.553491,1.540528,0.617895,1.071235,0.178012,1.311552
1,0.553491,1.102415,0.718365,0.072156,0.178012,0.728010
2,0.732036,1.948075,0.024001,0.455136,0.105354,0.501392
3,0.607054,1.397887,0.668130,0.024977,0.185278,0.869647
4,0.086297,0.776377,0.592777,0.197041,1.238821,0.869647
5,0.398751,0.837509,0.592777,1.792792,1.485859,1.351210
6,0.294600,0.837509,0.777531,0.363554,2.147048,1.237901
7,0.294600,0.385132,0.394627,0.849217,0.287000,0.999952
8,1.931265,0.216000,0.749623,1.570775,0.403253,1.691137
9,1.758672,0.731547,0.749623,1.162817,0.403253,0.773334
10,2.362750,0.032604,1.106294,1.889925,1.384137,1.407864
11,0.419582,0.700981,1.106294,1.093437,0.003633,0.433407
12,0.419582,0.048906,0.582172,0.524517,1.238821,0.433407
13,0.702278,1.047396,0.693806,0.044404,1.267884,0.433407
14,1.669399,0.568528,2.005507,0.205366,0.650290,1.311552
15,1.217084,0.354566,1.156529,0.094357,1.376872,0.943297
16,0.672521,1.220604,1.156529,1.606852,1.376872,1.141588
17,0.354115,1.220604,0.247270,0.843667,1.013581,0.490061
18,0.116054,1.220604,0.171358,0.358003,0.911860,1.028279
19,0.181521,1.190038,2.452043,1.481967,0.003633,0.643029
20,1.127811,16.487320,50.482613,1.232198,3.491223,0.603370
21,20.803507,16.691093,50.482613,17.800261,44.790104,40.799735
22,20.952295,16.283546,51.040783,18.216544,45.516686,39.383373
23,21.845022,16.792980,50.761698,19.465393,45.879976,39.100100
24,20.803507,16.792980,50.482613,19.049110,45.879976,37.967010
25,20.357144,16.385433,50.203528,18.771588,45.879976,39.666645
26,20.952295,16.792980,51.598954,18.355305,45.153395,40.233190
27,20.803507,16.691093,51.598954,18.216544,45.516686,39.949918
28,20.803507,16.283546,50.203528,18.216544,45.879976,41.366280
29,20.654720,16.792980,50.482613,19.604154,48.059720,38.250283
30,21.398658,16.181660,50.761698,19.049110,44.063523,38.816828
31,20.505932,16.691093,49.366272,18.355305,44.063523,37.967010
32,22.142597,17.608075,50.761698,19.187871,42.973651,37.400465
33,25.415929,18.066565,51.040783,19.187871,43.700232,47.598275
34,22.440173,18.066565,53.831636,19.604154,43.700232,42.216098
35,23.630475,18.830716,52.715295,20.436720,46.243267,44.199005
36,23.779263,19.747697,56.901573,23.166149,49.876174,47.315002
37,23.779263,20.766565,57.459744,25.894190,68.767287,54.113542
38,27.350170,21.785433,61.087852,28.623619,57.505277,53.546997
39,27.052594,20.868452,60.529682,28.623619,59.321730,51.280817
40,28.242896,21.785433,64.157790,25.085214,59.321730,55.246632
41,29.581986,22.498640,66.111386,25.848399,66.224253,55.246632
42,34.045620,26.574112,69.739495,26.819726,82.209042,61.478626
43,31.516228,26.574112,70.018580,33.480254,68.040706,56.379722
44,31.069864,20.053357,67.785898,27.791053,64.044509,56.946267
45,25.415929,19.849584,65.832301,26.819726,62.591346,56.946267
46,27.201382,20.155244,66.111386,26.264682,74.579938,62.045171
47,25.564716,20.155244,65.274131,26.264682,66.587543,45.332095
48,24.969565,20.053357,65.274131,26.264682,66.587543,46.748457
49,25.564716,19.238263,69.181324,25.987160,66.587543,46.748457
50,25.564716,19.849584,71.134921,26.542204,66.950834,48.164820
51,3.389386,0.385132,1.184438,26.819726,9.776151,48.164820
52,3.389386,0.093736,0.855675,1.176693,3.745527,0.388083
53,2.213962,0.145698,2.898579,2.536551,1.493125,1.169915
54,0.657642,0.385132,1.558970,2.605932,0.475911,1.339879
55,0.151764,1.479396,1.558970,1.884374,0.475911,1.339879
56,0.473145,1.020906,5.438255,1.884374,2.764642,1.764788
57,0.538612,0.012226,4.461457,1.454215,0.105354,1.764788
58,1.529538,0.222113,6.024334,1.287702,3.164262,1.577828
59,1.529538,0.456453,6.024334,1.703985,2.183377,0.812992
60,1.083175,1.734113,3.624201,0.149862,3.200591,3.334117
61,0.309479,0.949585,8.201199,0.149862,3.018945,3.334117
62,0.309479,1.031094,8.201199,1.287702,1.820086,3.334117
63,1.648569,0.501283,6.973224,1.509720,1.057176,4.098953
64,0.017855,0.028528,8.005839,1.717861,0.621227,0.926301
65,3.210840,0.847698,4.014920,0.455136,4.326792,4.013971
66,0.488024,0.089660,7.475577,0.807589,3.091603,4.240589
67,3.181083,0.435057,4.517274,3.813152,3.709198,4.240589
68,2.496659,0.435057,7.280218,0.987978,3.454894,5.232043
69,2.199083,0.089660,8.619827,0.260871,4.835399,3.447426
70,2.809113,0.572604,8.619827,0.510640,4.835399,6.081860
